# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
DEQ,827626149091981,23,84,149284,0
STATS,827626349558937,0,0,1,1,0,0,0
DEQ,827627151106609,23,84,124600,0
STATS,827627351565866,0,0,2,2,0,0,0
DEQ,827628152796241,23,84,21990,0
STATS,827628353270816,0,0,3,3,0,0,0
DEQ,827629154233550,23,84,44462,0
STATS,827629354589980,0,0,4,4,0,0,0
DEQ,827630156122260,23,84,30803,0
STATS,827630356636111,0,0,5,5,0,0,0
DEQ,827631115022052,23,1028,151872,0
DEQ,827631115820214,23,1028,58274,0
DEQ,827631116695629,23,1028,34433,0
DEQ,827631117622188,23,1028,68095,0
DEQ,827631118598872,23,1028,136512,0
DEQ,827631119505344,23,1028,139074,0
DEQ,827631120387007,23,1028,146889,0
DEQ,827631121240152,23,1028,128751,0
DEQ,827631122127478,23,1028,85941,0
DEQ,827631123105927,23,1028,133979,0
DEQ,827631124057555,23,1028,159537,0
DEQ,827631124958521,23,1028,141277,0
DEQ,827631125857167,23,1028,140726,0
DEQ,827631126765138,23,1028,140691,0
DEQ,827631127666236,23,1028,137142,0
DEQ,827631128581636,23,1028,147389,0
DEQ,827631129501749,23,1028,163499,0
DEQ,827631130367851,23,1028,144629,0
DEQ,827631131223434,23,1028,124795,0
DEQ,827631132133879,23,1028,119026,0
DEQ,827631133055824,23,1028,148446,0
DEQ,827631133950843,23,1028,128595,0
DEQ,827631134848930,23,1028,123675,0
DEQ,827631135760038,23,1028,130259,0
DEQ,827631136659551,23,1028,126610,0
DEQ,827631137574251,23,1028,138355,0
DEQ,827631138468489,23,1028,130123,0
DEQ,827631139326237,23,1028,114886,0
DEQ,827631140201178,23,1028,130413,0
DEQ,827631141086118,23,1028,124867,0
DEQ,827631142019849,23,1028,154260,0
DEQ,827631142908917,23,1028,131963,0
DEQ,827631143819934,23,1028,140231,0
DEQ,827631144709700,23,1028,125661,0
DEQ,827631145619793,23,1028,130742,0
DEQ,827631146522524,23,1028,125984,0
DEQ,827631147386273,23,1028,116994,0
DEQ,827631148213919,23,1028,85239,0
DEQ,827631149119915,23,1028,66960,0
DEQ,827631150093303,23,1028,131148,0
DEQ,827631151011201,23,1028,149399,0
DEQ,827631151906602,23,1028,130387,0
DEQ,827631152820498,23,1028,138866,0
DEQ,827631153711436,23,1028,123903,0
DEQ,827631154618090,23,1028,126599,0
DEQ,827631155525901,23,1028,131284,0
DEQ,827631156393497,23,1028,125183,0
DEQ,827631157269263,23,1028,141346,0
DEQ,827631158019165,23,84,20332,0
DEQ,827631158141854,23,1028,95205,0
DEQ,827631159119795,23,1028,82339,0
DEQ,827631160120903,23,1028,92393,0
DEQ,827631161118116,23,1028,95315,0
DEQ,827631162120071,23,1028,108626,0
DEQ,827631163117142,23,1028,110023,0
DEQ,827631164118151,23,1028,109982,0
DEQ,827631165129589,23,1028,136603,0
DEQ,827631166138270,23,1028,155985,0
DEQ,827631167122361,23,1028,153512,0
DEQ,827631168082181,23,1028,125745,0
DEQ,827631169000207,23,1028,131201,0
DEQ,827631169915996,23,1028,150081,0
DEQ,827631170832248,23,1028,148651,0
DEQ,827631171720672,23,1028,134068,0
DEQ,827631172618950,23,1028,131213,0
DEQ,827631173546038,23,1028,158901,0
DEQ,827631174416168,23,1028,142154,0
DEQ,827631175297579,23,1028,145802,0
DEQ,827631176276369,23,1028,142319,0
DEQ,827631177246963,23,1028,123488,0
DEQ,827631178253731,23,1028,143810,0
DEQ,827631179242263,23,1028,144297,0
DEQ,827631180241807,23,1028,149906,0
DEQ,827631181169781,23,1028,90578,0
DEQ,827631182221797,23,1028,153182,0
DEQ,827631183214937,23,1028,158831,0
DEQ,827631184220442,23,1028,177484,0
DEQ,827631185175544,23,1028,144381,0
DEQ,827631186175899,23,1028,151691,0
DEQ,827631187161405,23,1028,145593,0
DEQ,827631188150341,23,1028,141693,0
DEQ,827631189147166,23,1028,146952,0
DEQ,827631190134362,23,1028,135715,0
DEQ,827631191036229,23,1028,47298,0
DEQ,827631192128922,23,1028,151999,0
DEQ,827631193111042,23,1028,147756,0
DEQ,827631194079421,23,1028,127327,0
DEQ,827631194992349,23,1028,121948,0
DEQ,827631195908015,23,1028,146256,0
DEQ,827631196700466,23,1028,38340,0
DEQ,827631197607664,23,1028,49069,0
DEQ,827631198548072,23,1028,97155,0
DEQ,827631199490548,23,1028,133541,0
DEQ,827631200372838,23,1028,141577,0
DEQ,827631201226300,23,1028,123343,0
DEQ,827631202103823,23,1028,78634,0
DEQ,827631203057391,23,1028,138161,0
DEQ,827631203960651,23,1028,136364,0
DEQ,827631204858807,23,1028,129089,0
DEQ,827631205765693,23,1028,131472,0
DEQ,827631206693838,23,1028,155711,0
DEQ,827631207599202,23,1028,156115,0
DEQ,827631208490771,23,1028,135530,0
DEQ,827631209350354,23,1028,121260,0
DEQ,827631210213862,23,1028,125180,0
DEQ,827631211110014,23,1028,131922,0
DEQ,827631212010435,23,1028,129165,0
DEQ,827631212863538,23,1028,79534,0
DEQ,827631213830406,23,1028,142342,0
DEQ,827631214724783,23,1028,131663,0
DEQ,827631215638812,23,1028,138813,0
DEQ,827631216553592,23,1028,150431,0
DEQ,827631217405894,23,1028,125708,0
DEQ,827631218283230,23,1028,143289,0
DEQ,827631219155153,23,1028,85945,0
DEQ,827631220100310,23,1028,104183,0
DEQ,827631221039601,23,1028,131422,0
DEQ,827631221957746,23,1028,145408,0
DEQ,827631222797706,23,1028,79713,0
DEQ,827631223753289,23,1028,132323,0
DEQ,827631224657128,23,1028,133092,0
DEQ,827631225580321,23,1028,150890,0
DEQ,827631226481575,23,1028,139856,0
DEQ,827631227337561,23,1028,122299,0
DEQ,827631228204181,23,1028,129473,0
DEQ,827631229105835,23,1028,140949,0
DEQ,827631230002777,23,1028,134925,0
DEQ,827631230906667,23,1028,136494,0
DEQ,827631231829598,23,1028,156953,0
DEQ,827631232708499,23,1028,132439,0
DEQ,827631233612680,23,1028,133461,0
DEQ,827631234533751,23,1028,152052,0
DEQ,827631235387167,23,1028,125487,0
DEQ,827631236205613,23,1028,84507,0
DEQ,827631237136785,23,1028,89750,0
DEQ,827631238099026,23,1028,125103,0
DEQ,827631239014058,23,1028,130800,0
DEQ,827631239909834,23,1028,127271,0
DEQ,827631240829155,23,1028,141659,0
DEQ,827631241730301,23,1028,137414,0
DEQ,827631242640505,23,1028,137372,0
DEQ,827631243560388,23,1028,156269,0
DEQ,827631244413986,23,1028,126229,0
DEQ,827631245293110,23,1028,140346,0
DEQ,827631246203114,23,1028,133655,0
DEQ,827631247104432,23,1028,126998,0
DEQ,827631248011396,23,1028,134142,0
DEQ,827631248916734,23,1028,133821,0
DEQ,827631249834584,23,1028,145938,0
DEQ,827631250723838,23,1028,131910,0
DEQ,827631251628408,23,1028,133344,0
DEQ,827631252552867,23,1028,155258,0
DEQ,827631253413221,23,1028,127390,0
DEQ,827631254288611,23,1028,143086,0
DEQ,827631255230738,23,1028,163507,0
DEQ,827631256013487,23,1028,37336,0
DEQ,827631256937894,23,1028,51157,0
DEQ,827631257926667,23,1028,136629,0
DEQ,827631258838948,23,1028,144974,0
DEQ,827631259735700,23,1028,136752,0
DEQ,827631260634660,23,1028,132939,0
DEQ,827631261558544,23,1028,151991,0
DEQ,827631262417322,23,1028,125031,0
DEQ,827631263286602,23,1028,127560,0
DEQ,827631264176473,23,1028,130283,0
DEQ,827631265080582,23,1028,135601,0
DEQ,827631265991531,23,1028,144455,0
DEQ,827631266893086,23,1028,136932,0
DEQ,827631267794394,23,1028,133057,0
DEQ,827631268707190,23,1028,142218,0
DEQ,827631269601261,23,1028,134443,0
DEQ,827631270520701,23,1028,150055,0
DEQ,827631271373937,23,1028,123143,0
DEQ,827631272230859,23,1028,120572,0
DEQ,827631273108697,23,1028,93386,0
DEQ,827631274043965,23,1028,132599,0
DEQ,827631274962297,23,1028,147858,0
DEQ,827631275852299,23,1028,135203,0
DEQ,827631276751261,23,1028,130560,0
DEQ,827631277658462,23,1028,134840,0
DEQ,827631278573890,23,1028,145610,0
DEQ,827631279482577,23,1028,151097,0
DEQ,827631280282567,23,1028,72493,0
DEQ,827631281206992,23,1028,137812,0
DEQ,827631282090938,23,1028,132980,0
DEQ,827631282980779,23,1028,131094,0
DEQ,827631283893528,23,1028,141890,0
DEQ,827631284785454,23,1028,131081,0
DEQ,827631285696326,23,1028,139296,0
DEQ,827631286589078,23,1028,129972,0
DEQ,827631287491475,23,1028,130389,0
DEQ,827631288364496,23,1028,130565,0
DEQ,827631289215846,23,1028,121179,0
DEQ,827631290105773,23,1028,121602,0
DEQ,827631291029869,23,1028,135653,0
DEQ,827631291946831,23,1028,148931,0
DEQ,827631292838370,23,1028,138569,0
DEQ,827631293733954,23,1028,131418,0
DEQ,827631294637279,23,1028,130479,0
DEQ,827631295538834,23,1028,129567,0
DEQ,827631296412923,23,1028,130550,0
DEQ,827631297283194,23,1028,141312,0
DEQ,827631298158215,23,1028,90317,0
DEQ,827631299102979,23,1028,109112,0
DEQ,827631300032665,23,1028,125163,0
DEQ,827631300943887,23,1028,137397,0
DEQ,827631301842305,23,1028,130550,0
DEQ,827631302749466,23,1028,133726,0
DEQ,827631303657055,23,1028,136300,0
DEQ,827631304563310,23,1028,138068,0
DEQ,827631305455321,23,1028,144513,0
DEQ,827631306338633,23,1028,153555,0
DEQ,827631307174130,23,1028,135665,0
DEQ,827631308083715,23,1028,142582,0
DEQ,827631308980060,23,1028,135500,0
DEQ,827631309880241,23,1028,132753,0
DEQ,827631310781043,23,1028,130378,0
DEQ,827631311610416,23,1028,56915,0
DEQ,827631312578009,23,1028,131643,0
DEQ,827631313477818,23,1028,128401,0
DEQ,827631314339904,23,1028,116333,0
DEQ,827631315214083,23,1028,131035,0
DEQ,827631316122867,23,1028,148408,0
DEQ,827631317041428,23,1028,128645,0
DEQ,827631317959127,23,1028,138949,0
DEQ,827631318863426,23,1028,141250,0
DEQ,827631319760760,23,1028,132799,0
DEQ,827631320669511,23,1028,137394,0
DEQ,827631321580783,23,1028,145187,0
DEQ,827631322422275,23,1028,79483,0
DEQ,827631323264488,23,1028,49632,0
DEQ,827631324118771,23,1028,44227,0
DEQ,827631324981166,23,1028,41470,0
DEQ,827631325867036,23,1028,37797,0
DEQ,827631326850261,23,1028,130912,0
DEQ,827631327749189,23,1028,125837,0
DEQ,827631328657058,23,1028,129572,0
DEQ,827631329573803,23,1028,140610,0
DEQ,827631330459759,23,1028,124799,0
DEQ,827631331323358,23,1028,115226,0
DEQ,827631332200275,23,1028,132775,0
DEQ,827631333109560,23,1028,153557,0
DEQ,827631333995563,23,1028,132286,0
DEQ,827631334898385,23,1028,133162,0
DEQ,827631335800505,23,1028,133239,0
DEQ,827631336706544,23,1028,136138,0
DEQ,827631337605603,23,1028,131577,0
DEQ,827631338515019,23,1028,133771,0
DEQ,827631339378451,23,1028,125435,0
DEQ,827631340256677,23,1028,144311,0
DEQ,827631341142293,23,1028,102760,0
DEQ,827631342110421,23,1028,145027,0
DEQ,827631343014094,23,1028,131148,0
DEQ,827631343914412,23,1028,132406,0
DEQ,827631344830449,23,1028,144596,0
DEQ,827631345728007,23,1028,136205,0
DEQ,827631346629952,23,1028,132216,0
DEQ,827631347526790,23,1028,125608,0
DEQ,827631348423053,23,1028,147372,0
DEQ,827631349284001,23,1028,148893,0
DEQ,827631350154660,23,1028,90229,0
DEQ,827631351099219,23,1028,107497,0
DEQ,827631352045119,23,1028,133924,0
DEQ,827631352947470,23,1028,138972,0
DEQ,827631353855590,23,1028,142400,0
DEQ,827631354750419,23,1028,131299,0
DEQ,827631355657668,23,1028,134295,0
DEQ,827631356573881,23,1028,146378,0
DEQ,827631357455828,23,1028,123890,0
STATS,827631357464067,0,0,274,274,0,0,0
DEQ,827631358283277,23,1028,77695,0
DEQ,827631359193794,23,1028,128680,0
DEQ,827631360102922,23,1028,148846,0
DEQ,827631360999610,23,1028,135989,0
DEQ,827631361896487,23,1028,129142,0
DEQ,827631362828669,23,1028,152626,0
DEQ,827631363708940,23,1028,130552,0
DEQ,827631364607721,23,1028,126409,0
DEQ,827631365520652,23,1028,135872,0
DEQ,827631366373934,23,1028,115420,0
DEQ,827631367258982,23,1028,141106,0
DEQ,827631368135333,23,1028,88423,0
DEQ,827631369127089,23,1028,149223,0
DEQ,827631370018986,23,1028,123616,0
DEQ,827631370922396,23,1028,129604,0
DEQ,827631371843685,23,1028,142991,0
DEQ,827631372737929,23,1028,131896,0
DEQ,827631373646601,23,1028,136174,0
DEQ,827631374565314,23,1028,151467,0
DEQ,827631375408839,23,1028,121142,0
DEQ,827631376293470,23,1028,143561,0
DEQ,827631377195511,23,1028,126549,0
DEQ,827631378122026,23,1028,141421,0
DEQ,827631379030810,23,1028,117871,0
DEQ,827631379959734,23,1028,137004,0
DEQ,827631380853486,23,1028,132486,0
DEQ,827631381762540,23,1028,136893,0
DEQ,827631382662538,23,1028,133066,0
DEQ,827631383579359,23,1028,144987,0
DEQ,827631384469112,23,1028,131819,0
DEQ,827631385332815,23,1028,121866,0
DEQ,827631386205358,23,1028,134315,0
DEQ,827631387111832,23,1028,151246,0
DEQ,827631388005337,23,1028,133839,0
DEQ,827631388901592,23,1028,124963,0
DEQ,827631389828466,23,1028,147462,0
DEQ,827631390720055,23,1028,135936,0
DEQ,827631391629244,23,1028,140426,0
DEQ,827631392523339,23,1028,129536,0
DEQ,827631393387986,23,1028,120667,0
DEQ,827631394270850,23,1028,143913,0
DEQ,827631395133826,23,1028,82558,0
DEQ,827631396034458,23,1028,53730,0
DEQ,827631397018384,23,1028,120829,0
DEQ,827631397947448,23,1028,151596,0
DEQ,827631398831774,23,1028,132953,0
DEQ,827631399726845,23,1028,123297,0
DEQ,827631400643412,23,1028,134370,0
DEQ,827631401546057,23,1028,130776,0
DEQ,827631402455752,23,1028,156167,0
DEQ,827631403315383,23,1028,141676,0
DEQ,827631404205314,23,1028,136634,0
DEQ,827631405121718,23,1028,145290,0
DEQ,827631406048222,23,1028,132233,0
DEQ,827631406951655,23,1028,127116,0
DEQ,827631407851421,23,1028,124407,0
DEQ,827631408762358,23,1028,128819,0
DEQ,827631409671607,23,1028,133588,0
DEQ,827631410583336,23,1028,136345,0
DEQ,827631411473297,23,1028,123350,0
DEQ,827631412337587,23,1028,114753,0
DEQ,827631413156579,23,1028,74067,0
DEQ,827631414113657,23,1028,140424,0
DEQ,827631415018271,23,1028,132917,0
