epoch,frame,slot,harq_id,mcs,rb_start,num_rbs,tb_size,rv,tx_type
1785589200.186758,285,17,2,13,0,51,1601,0,0
1785589200.186758,285,18,4,13,0,51,1601,0,0
1785589200.186758,285,19,5,13,26,25,784,0,0
1785589200.190818,286,7,6,9,1,50,1089,0,0
1785589200.190818,286,8,1,9,0,43,944,0,0
1785589200.190818,286,9,3,9,0,51,1121,0,0
1785589200.195054,286,17,5,12,0,51,1409,0,0
1785589200.195054,286,18,4,12,0,51,1409,0,0
1785589200.195054,286,19,2,12,26,25,704,0,0
1785589200.198991,287,7,3,10,5,46,1008,0,0
1785589200.198991,287,8,1,10,0,51,1121,0,0
1785589200.202936,287,9,6,10,0,51,1121,0,0
1785589200.206758,287,17,2,13,1,50,1569,0,0
1785589200.206758,287,18,4,13,0,51,1601,0,0
1785589200.206758,287,19,5,13,26,25,784,0,0
1785589200.210824,288,7,6,9,0,51,1121,0,0
1785589200.210824,288,8,1,9,0,43,944,0,0
1785589200.210824,288,9,3,9,0,51,1121,0,0
1785589200.215054,288,17,5,13,1,50,1569,0,0
1785589200.215054,288,18,4,13,0,51,1601,0,0
1785589200.215054,288,19,2,13,26,25,784,0,0
1785589200.218990,289,7,3,9,5,46,1008,0,0
1785589200.218990,289,8,1,9,0,51,1121,0,0
1785589200.222929,289,9,6,9,0,51,1121,0,0
1785589200.226760,289,17,2,13,0,51,1601,0,0
1785589200.226760,289,18,4,13,0,51,1601,0,0
1785589200.226760,289,19,5,13,26,25,784,0,0
1785589200.230819,290,7,6,11,1,50,1217,0,0
1785589200.230819,290,8,1,11,0,43,1057,0,0
1785589200.230819,290,9,3,11,0,51,1249,0,0
1785589200.235054,290,17,5,13,0,51,1601,0,0
1785589200.235054,290,18,4,13,0,51,1601,0,0
1785589200.235054,290,19,2,13,26,25,784,0,0
1785589200.238989,291,7,1,11,5,43,1057,0,1
1785589200.238989,291,8,3,9,0,51,1121,0,0
1785589200.242929,291,9,6,9,0,51,1121,0,0
1785589200.246758,291,17,2,12,0,51,1409,0,0
1785589200.246758,291,18,4,12,0,51,1409,0,0
1785589200.246758,291,19,5,12,26,25,704,0,0
1785589200.250824,292,7,6,8,0,51,992,0,0
1785589200.250824,292,8,3,8,0,43,832,0,0
1785589200.250824,292,9,1,8,0,51,992,0,0
1785589200.255055,292,17,5,11,1,50,1217,0,0
1785589200.255055,292,18,4,11,0,51,1249,0,0
1785589200.255055,292,19,2,11,26,25,608,0,0
1785589200.258990,293,7,1,9,5,46,1008,0,0
1785589200.258990,293,8,3,9,0,51,1121,0,0
1785589200.262930,293,9,6,9,0,51,1121,0,0
1785589200.266758,293,17,2,13,0,51,1601,0,0
1785589200.266758,293,18,4,13,0,51,1601,0,0
1785589200.266758,293,19,5,13,26,25,784,0,0
1785589200.270818,294,7,6,10,1,50,1089,0,0
1785589200.270818,294,8,3,10,0,43,944,0,0
1785589200.270818,294,9,1,10,0,51,1121,0,0
1785589200.275054,294,17,5,13,0,51,1601,0,0
1785589200.275054,294,18,4,13,0,51,1601,0,0
1785589200.275054,294,19,2,13,26,25,784,0,0
1785589200.278988,295,7,1,10,5,46,1008,0,0
1785589200.278988,295,8,3,10,0,51,1121,0,0
1785589200.282929,295,9,6,10,0,51,1121,0,0
1785589200.286757,295,17,2,13,0,51,1601,0,0
1785589200.286757,295,18,4,13,0,51,1601,0,0
1785589200.286757,295,19,5,13,26,25,784,0,0
1785589200.290823,296,7,6,10,0,51,1121,0,0
1785589200.290823,296,8,3,10,0,43,944,0,0
1785589200.290823,296,9,1,10,0,51,1121,0,0
1785589200.295054,296,17,5,13,1,50,1569,0,0
1785589200.295054,296,18,4,13,0,51,1601,0,0
1785589200.295054,296,19,2,13,26,25,784,0,0
1785589200.298989,297,7,1,9,5,46,1008,0,0
1785589200.298989,297,8,3,9,0,51,1121,0,0
1785589200.302938,297,9,6,9,0,51,1121,0,0
1785589200.306760,297,17,2,13,1,50,1569,0,0
1785589200.306760,297,18,4,13,0,51,1601,0,0
1785589200.306760,297,19,5,13,26,25,784,0,0
1785589200.310825,298,7,6,9,0,51,1121,0,0
1785589200.310825,298,8,3,9,0,43,944,0,0
1785589200.310825,298,9,1,9,0,51,1121,0,0
1785589200.315055,298,17,5,12,0,51,1409,0,0
1785589200.315055,298,18,4,12,0,51,1409,0,0
1785589200.315055,298,19,2,12,26,25,704,0,0
1785589200.318989,299,7,1,9,5,46,1008,0,0
1785589200.318989,299,8,3,9,0,51,1121,0,0
1785589200.322936,299,9,6,9,0,51,1121,0,0
1785589200.326761,299,17,2,13,0,51,1601,0,0
1785589200.326761,299,18,4,13,0,51,1601,0,0
1785589200.326761,299,19,5,13,26,25,784,0,0
1785589200.330818,300,7,6,9,1,50,1089,0,0
1785589200.330818,300,8,3,9,0,43,944,0,0
1785589200.330818,300,9,1,9,0,51,1121,0,0
1785589200.335055,300,17,5,13,0,51,1601,0,0
1785589200.335055,300,18,4,13,0,51,1601,0,0
1785589200.335055,300,19,2,13,26,25,784,0,0
1785589200.338990,301,7,1,9,5,46,1008,0,0
1785589200.338990,301,8,3,9,0,51,1121,0,0
1785589200.342930,301,9,6,9,0,51,1121,0,0
1785589200.346759,301,17,2,13,1,50,1569,0,0
1785589200.346759,301,18,4,13,0,51,1601,0,0
1785589200.346759,301,19,5,13,26,25,784,0,0
1785589200.350825,302,7,6,9,0,51,1121,0,0
1785589200.350825,302,8,3,9,0,43,944,0,0
1785589200.350825,302,9,1,9,0,51,1121,0,0
1785589200.355055,302,17,5,13,1,50,1569,0,0
1785589200.355055,302,18,4,13,0,51,1601,0,0
1785589200.355055,302,19,2,13,26,25,784,0,0
1785589200.358991,303,7,1,9,5,46,1008,0,0
1785589200.358991,303,8,3,9,0,51,1121,0,0
1785589200.362929,303,9,6,9,0,51,1121,0,0
1785589200.366760,303,17,2,13,0,51,1601,0,0
1785589200.366760,303,18,4,13,0,51,1601,0,0
1785589200.366760,303,19,5,13,26,25,784,0,0
1785589200.370819,304,7,6,10,1,50,1089,0,0
1785589200.370819,304,8,3,10,0,43,944,0,0
1785589200.370819,304,9,1,10,0,51,1121,0,0
1785589200.375054,304,17,5,13,0,51,1601,0,0
1785589200.375054,304,18,4,13,0,51,1601,0,0
1785589200.375054,304,19,2,13,26,25,784,0,0
1785589200.378991,305,7,3,10,5,43,944,0,1
1785589200.378991,305,8,6,10,0,50,1089,0,1
1785589200.382929,305,9,1,8,0,51,992,0,0
1785589200.386759,305,17,2,13,0,51,1601,0,0
1785589200.386759,305,18,4,13,0,51,1601,0,0
1785589200.386759,305,19,5,13,26,25,784,0,0
1785589200.390824,306,7,1,11,0,51,1249,0,0
1785589200.390824,306,8,6,11,0,43,1057,0,0
1785589200.390824,306,9,3,11,0,51,1249,0,0
1785589200.395055,306,17,5,13,1,50,1569,0,0
1785589200.395055,306,18,4,13,0,51,1601,0,0
1785589200.395055,306,19,2,13,26,25,784,0,0
1785589200.398993,307,7,3,9,5,46,1008,0,0
1785589200.398993,307,8,6,9,0,51,1121,0,0
1785589200.402936,307,9,1,9,0,51,1121,0,0
1785589200.406758,307,17,2,13,0,51,1601,0,0
1785589200.406758,307,18,4,13,0,51,1601,0,0
1785589200.406758,307,19,5,13,26,25,784,0,0
1785589200.410820,308,7,1,11,1,50,1217,0,0
1785589200.410820,308,8,6,11,0,43,1057,0,0
1785589200.410820,308,9,3,11,0,51,1249,0,0
1785589200.415054,308,17,5,13,0,51,1601,0,0
1785589200.415054,308,18,4,13,0,51,1601,0,0
1785589200.415054,308,19,2,13,26,25,784,0,0
1785589200.418989,309,7,6,11,5,43,1057,0,1
1785589200.418989,309,8,3,9,0,51,1121,0,0
1785589200.422929,309,9,1,9,0,51,1121,0,0
1785589200.426759,309,17,2,13,0,51,1601,0,0
1785589200.426759,309,18,4,13,0,51,1601,0,0
1785589200.426759,309,19,5,13,26,25,784,0,0
1785589200.430826,310,7,1,10,0,51,1121,0,0
1785589200.430826,310,8,3,10,0,43,944,0,0
1785589200.430826,310,9,6,10,0,51,1121,0,0
1785589200.435056,310,17,5,13,1,50,1569,0,0
1785589200.435056,310,18,4,13,0,51,1601,0,0
1785589200.435056,310,19,2,13,26,25,784,0,0
1785589200.438991,311,7,6,9,5,46,1008,0,0
1785589200.438991,311,8,3,9,0,51,1121,0,0
1785589200.442928,311,9,1,9,0,51,1121,0,0
1785589200.446760,311,17,2,13,0,25,784,0,1
1785589200.446760,311,18,4,7,0,51,864,0,0
1785589200.446760,311,19,5,7,26,25,421,0,0
1785589200.450824,312,7,1,9,0,51,1121,0,0
1785589200.450824,312,8,3,9,0,43,944,0,0
1785589200.450824,312,9,6,9,0,51,1121,0,0
1785589200.455054,312,17,5,7,1,50,848,0,0
1785589200.455054,312,18,4,7,0,51,864,0,0
1785589200.455054,312,19,2,7,26,25,421,0,0
1785589200.458989,313,7,6,7,5,46,784,0,0
1785589200.458989,313,8,3,7,0,51,864,0,0
1785589200.462928,313,9,1,7,0,51,864,0,0
1785589200.466758,313,17,2,8,1,50,960,0,0
1785589200.466758,313,18,4,8,0,51,992,0,0
1785589200.466758,313,19,5,8,26,25,480,0,0
1785589200.470831,314,7,1,7,0,51,864,0,0
1785589200.470831,314,8,3,7,0,43,720,0,0
1785589200.470831,314,9,6,7,0,51,864,0,0
1785589200.475054,314,17,5,8,1,50,960,0,0
1785589200.475054,314,18,4,8,0,51,992,0,0
1785589200.475054,314,19,2,8,26,25,480,0,0
1785589200.478990,315,7,6,9,5,46,1008,0,0
1785589200.478990,315,8,3,9,0,51,1121,0,0
1785589200.482936,315,9,1,9,0,51,1121,0,0
1785589200.486759,315,17,2,13,0,51,1601,0,0
1785589200.486759,315,18,4,13,0,51,1601,0,0
1785589200.486759,315,19,5,13,26,25,784,0,0
1785589200.490817,316,7,1,9,1,50,1089,0,0
1785589200.490817,316,8,3,9,0,43,944,0,0
1785589200.490817,316,9,6,9,0,51,1121,0,0
1785589200.495054,316,17,5,13,0,51,1601,0,0
1785589200.495054,316,18,4,13,0,51,1601,0,0
1785589200.495054,316,19,2,13,26,25,784,0,0
1785589200.498988,317,7,6,10,5,46,1008,0,0
1785589200.498988,317,8,3,10,0,51,1121,0,0
1785589200.502936,317,9,1,10,0,51,1121,0,0
1785589200.506758,317,17,2,13,1,50,1569,0,0
1785589200.506758,317,18,4,13,0,51,1601,0,0
1785589200.506758,317,19,5,13,26,25,784,0,0
1785589200.510822,318,7,6,10,0,46,1008,0,1
1785589200.510822,318,8,1,10,0,43,944,0,0
1785589200.510822,318,9,3,10,0,51,1121,0,0
1785589200.515054,318,17,5,13,1,50,1569,0,0
1785589200.515054,318,18,4,13,0,51,1601,0,0
1785589200.515054,318,19,2,13,26,25,784,0,0
1785589200.518990,319,7,3,11,5,46,1121,0,0
1785589200.518990,319,8,1,11,0,51,1249,0,0
1785589200.522937,319,9,6,11,0,51,1249,0,0
1785589200.526760,319,17,2,12,0,51,1409,0,0
1785589200.526760,319,18,4,12,0,51,1409,0,0
1785589200.526760,319,19,5,12,26,25,704,0,0
1785589200.530817,320,7,6,11,1,50,1217,0,0
1785589200.530817,320,8,1,11,0,43,1057,0,0
1785589200.530817,320,9,3,11,0,51,1249,0,0
1785589200.535055,320,17,5,13,0,51,1601,0,0
1785589200.535055,320,18,4,13,0,51,1601,0,0
1785589200.535055,320,19,2,13,26,25,784,0,0
1785589200.538988,321,7,1,11,5,43,1057,0,1
1785589200.538988,321,8,6,11,0,50,1217,0,1
1785589200.542929,321,9,3,9,0,51,1121,0,0
1785589200.546759,321,17,2,13,1,50,1569,0,0
1785589200.546759,321,18,4,13,0,51,1601,0,0
1785589200.546759,321,19,5,13,26,25,784,0,0
1785589200.550817,322,7,3,10,0,51,1121,0,0
1785589200.550817,322,8,6,10,0,43,944,0,0
1785589200.550817,322,9,1,10,0,51,1121,0,0
1785589200.555053,322,17,5,13,0,51,1601,0,0
1785589200.555053,322,18,4,13,0,51,1601,0,0
1785589200.555053,322,19,2,13,26,25,784,0,0
1785589200.558988,323,7,1,11,5,46,1121,0,0
1785589200.558988,323,8,6,11,0,51,1249,0,0
1785589200.562928,323,9,3,11,0,51,1249,0,0
1785589200.566758,323,17,2,13,0,51,1601,0,0
1785589200.566758,323,18,4,13,0,51,1601,0,0
1785589200.566758,323,19,5,13,26,25,784,0,0
1785589200.570818,324,7,3,9,1,50,1089,0,0
1785589200.570818,324,8,6,9,0,43,944,0,0
1785589200.570818,324,9,1,9,0,51,1121,0,0
1785589200.575054,324,17,5,13,0,51,1601,0,0
1785589200.575054,324,18,4,13,0,51,1601,0,0
1785589200.575054,324,19,2,13,26,25,784,0,0
1785589200.578990,325,7,1,9,5,46,1008,0,0
1785589200.578990,325,8,6,9,0,51,1121,0,0
1785589200.582929,325,9,3,9,0,51,1121,0,0
1785589200.586759,325,17,2,13,1,50,1569,0,0
1785589200.586759,325,18,4,13,0,51,1601,0,0
1785589200.586759,325,19,5,13,26,25,784,0,0
1785589200.590822,326,7,3,11,0,51,1249,0,0
1785589200.590822,326,8,6,11,0,43,1057,0,0
1785589200.590822,326,9,1,11,0,51,1249,0,0
1785589200.595054,326,17,5,13,1,50,1569,0,0
1785589200.595054,326,18,4,13,0,51,1601,0,0
1785589200.595054,326,19,2,13,26,25,784,0,0
1785589200.598992,327,7,1,10,5,46,1008,0,0
1785589200.598992,327,8,6,10,0,51,1121,0,0
1785589200.602943,327,9,3,10,0,51,1121,0,0
1785589200.606759,327,17,2,13,0,51,1601,0,0
1785589200.606759,327,18,4,13,0,51,1601,0,0
1785589200.606759,327,19,5,13,26,25,784,0,0
1785589200.610817,328,7,3,9,1,50,1089,0,0
1785589200.610817,328,8,6,9,0,43,944,0,0
1785589200.610817,328,9,1,9,0,51,1121,0,0
1785589200.615053,328,17,5,13,0,51,1601,0,0
1785589200.615053,328,18,4,13,0,51,1601,0,0
1785589200.615053,328,19,2,13,26,25,784,0,0
1785589200.618989,329,7,1,10,5,46,1008,0,0
1785589200.618989,329,8,6,10,0,51,1121,0,0
1785589200.622929,329,9,3,10,0,51,1121,0,0
1785589200.626760,329,17,2,13,0,51,1601,0,0
1785589200.626760,329,18,4,13,0,51,1601,0,0
1785589200.626760,329,19,5,13,26,25,784,0,0
1785589200.630823,330,7,3,10,0,51,1121,0,0
1785589200.630823,330,8,6,10,0,43,944,0,0
1785589200.630823,330,9,1,10,0,51,1121,0,0
1785589200.635055,330,17,5,13,1,50,1569,0,0
