epoch,frame,slot,harq_id,mcs,rb_start,num_rbs,tb_size,rv,tx_type
1785621218.265271,52,7,6,28,0,6,544,0,0
1785621218.485270,74,7,6,28,0,6,544,0,0
1785621218.505270,76,7,6,28,0,6,544,0,0
1785621219.485269,174,7,6,28,0,6,544,0,0
1785621219.505270,176,7,6,28,0,6,544,0,0
1785621220.485267,274,7,6,28,0,6,544,0,0
1785621220.505267,276,7,6,28,0,6,544,0,0
1785621221.485265,374,7,6,28,0,6,544,0,0
1785621221.505266,376,7,6,28,0,6,544,0,0
1785621222.485264,474,7,6,28,0,6,544,0,0
1785621222.505264,476,7,6,28,0,6,544,0,0
1785621223.485263,574,7,6,28,0,6,544,0,0
1785621223.505263,576,7,6,28,0,6,544,0,0
1785621224.485262,674,7,6,28,0,6,544,0,0
1785621224.505261,676,7,6,28,0,6,544,0,0
1785621225.485260,774,7,6,28,0,6,544,0,0
1785621225.505260,776,7,6,28,0,6,544,0,0
1785621225.845259,810,7,6,28,0,6,544,0,0
1785621226.485258,874,7,6,28,0,6,544,0,0
1785621226.505258,876,7,6,28,0,6,544,0,0
1785621226.805258,906,7,6,28,0,6,544,0,0
1785621226.813258,907,7,6,28,0,51,4612,0,0
1785621226.813258,907,8,4,28,5,46,4227,0,0
1785621226.813258,907,9,5,28,0,51,4612,0,0
1785621226.817509,907,17,1,28,0,51,4612,0,0
1785621226.817509,907,18,3,28,0,51,4612,0,0
1785621226.821442,907,19,2,28,26,25,2304,0,0
1785621226.825263,908,7,6,28,0,51,4612,0,1
1785621226.825263,908,8,0,15,0,43,1697,0,0
1785621226.825263,908,9,4,28,0,46,4227,0,1
1785621226.829329,908,17,5,28,0,51,4612,0,1
1785621226.829329,908,18,1,28,0,51,4612,0,1
1785621226.829329,908,19,2,28,26,25,2304,0,1
1785621226.833257,909,7,4,28,3,46,4227,0,1
1785621226.833257,909,8,0,14,5,46,1633,0,0
1785621226.833257,909,9,3,28,0,51,4612,0,1
1785621226.837509,909,17,6,28,0,51,4612,0,1
1785621226.837509,909,18,5,28,0,51,4612,0,1
1785621226.841450,909,19,2,19,26,25,1249,0,0
1785621226.845274,910,7,1,28,0,51,4612,0,1
1785621226.845274,910,8,0,15,0,43,1697,0,0
1785621226.845274,910,9,4,28,0,46,4227,0,1
1785621226.849324,910,17,2,19,3,48,2370,0,0
1785621226.849324,910,18,3,28,0,51,4612,0,1
1785621226.849324,910,19,5,19,26,25,1249,0,0
1785621226.853257,911,7,6,28,0,51,4612,0,1
1785621226.853257,911,8,4,28,5,46,4227,0,1
1785621226.853257,911,9,0,14,0,51,1825,0,0
1785621226.857508,911,17,5,19,3,48,2370,0,0
1785621226.857508,911,18,3,19,0,51,2562,0,0
1785621226.861442,911,19,2,19,26,25,1249,0,0
1785621226.865274,912,7,0,14,0,44,1569,0,0
1785621226.865274,912,8,4,14,0,43,1537,0,0
1785621226.865274,912,9,6,14,0,51,1825,0,0
1785621226.869341,912,17,2,18,3,48,2178,0,0
1785621226.869341,912,18,3,18,0,51,2304,0,0
1785621226.869341,912,19,5,18,26,25,1121,0,0
1785621226.873256,913,7,6,13,3,48,1505,0,0
1785621226.873256,913,8,4,13,5,46,1441,0,0
1785621226.873256,913,9,0,13,0,51,1601,0,0
1785621226.877509,913,17,5,19,0,51,2562,0,0
1785621226.877509,913,18,3,19,0,51,2562,0,0
1785621226.881443,913,19,2,19,26,25,1249,0,0
1785621226.885275,914,7,0,14,3,48,1697,0,0
1785621226.885275,914,8,4,14,0,43,1537,0,0
1785621226.885275,914,9,6,14,0,51,1825,0,0
1785621226.889340,914,17,2,19,0,51,2562,0,0
1785621226.889340,914,18,3,19,0,51,2562,0,0
1785621226.889340,914,19,5,19,26,25,1249,0,0
1785621226.893257,915,7,6,14,3,48,1697,0,0
1785621226.893257,915,8,4,14,5,46,1633,0,0
1785621226.893257,915,9,0,14,0,51,1825,0,0
1785621226.897509,915,17,5,20,0,51,2817,0,0
1785621226.897509,915,18,3,20,0,51,2817,0,0
1785621226.901442,915,19,2,20,26,25,1377,0,0
1785621226.905275,916,7,0,14,3,48,1697,0,0
1785621226.905275,916,8,4,14,0,43,1537,0,0
1785621226.905275,916,9,6,14,0,51,1825,0,0
1785621226.909339,916,17,2,19,0,51,2562,0,0
1785621226.909339,916,18,3,19,0,51,2562,0,0
1785621226.909339,916,19,5,19,26,25,1249,0,0
1785621226.913256,917,7,6,14,3,48,1697,0,0
1785621226.913256,917,8,4,14,5,46,1633,0,0
1785621226.913256,917,9,0,14,0,51,1825,0,0
1785621226.917509,917,17,5,19,0,51,2562,0,0
1785621226.917509,917,18,3,19,0,51,2562,0,0
1785621226.921442,917,19,2,19,26,25,1249,0,0
1785621226.925275,918,7,0,14,3,48,1697,0,0
1785621226.925275,918,8,4,14,0,43,1537,0,0
1785621226.925275,918,9,6,14,0,51,1825,0,0
1785621226.929340,918,17,2,18,0,51,2304,0,0
1785621226.929340,918,18,3,18,0,51,2304,0,0
1785621226.929340,918,19,5,18,26,25,1121,0,0
1785621226.933257,919,7,6,14,3,48,1697,0,0
1785621226.933257,919,8,4,14,5,46,1633,0,0
1785621226.933257,919,9,0,14,0,51,1825,0,0
1785621226.937510,919,17,5,19,0,51,2562,0,0
1785621226.937510,919,18,3,19,0,51,2562,0,0
1785621226.941442,919,19,2,19,26,25,1249,0,0
1785621226.945274,920,7,0,14,3,48,1697,0,0
1785621226.945274,920,8,4,14,0,43,1537,0,0
1785621226.945274,920,9,6,14,0,51,1825,0,0
1785621226.949339,920,17,2,19,0,51,2562,0,0
1785621226.949339,920,18,3,19,0,51,2562,0,0
1785621226.949339,920,19,5,19,26,25,1249,0,0
1785621226.953257,921,7,6,14,3,48,1697,0,0
1785621226.953257,921,8,4,14,5,46,1633,0,0
1785621226.953257,921,9,0,14,0,51,1825,0,0
1785621226.957509,921,17,5,20,0,51,2817,0,0
1785621226.957509,921,18,3,20,0,51,2817,0,0
1785621226.961442,921,19,2,20,26,25,1377,0,0
1785621226.965273,922,7,0,14,3,48,1697,0,0
1785621226.965273,922,8,4,14,0,43,1537,0,0
1785621226.965273,922,9,6,14,0,51,1825,0,0
1785621226.969339,922,17,2,19,0,51,2562,0,0
1785621226.969339,922,18,3,19,0,51,2562,0,0
1785621226.969339,922,19,5,19,26,25,1249,0,0
1785621226.973256,923,7,6,14,3,48,1697,0,0
1785621226.973256,923,8,4,14,5,46,1633,0,0
1785621226.973256,923,9,0,14,0,51,1825,0,0
1785621226.977510,923,17,5,20,0,51,2817,0,0
1785621226.977510,923,18,3,20,0,51,2817,0,0
1785621226.981442,923,19,2,20,26,25,1377,0,0
1785621226.985274,924,7,0,14,3,48,1697,0,0
1785621226.985274,924,8,4,14,0,43,1537,0,0
1785621226.985274,924,9,6,14,0,51,1825,0,0
1785621226.989340,924,17,2,20,0,51,2817,0,0
1785621226.989340,924,18,3,20,0,51,2817,0,0
1785621226.989340,924,19,5,20,26,25,1377,0,0
1785621226.993258,925,7,6,14,3,48,1697,0,0
1785621226.993258,925,8,4,14,5,46,1633,0,0
1785621226.993258,925,9,0,14,0,51,1825,0,0
1785621226.997511,925,17,5,19,0,51,2562,0,0
1785621226.997511,925,18,3,19,0,51,2562,0,0
1785621227.001441,925,19,2,19,26,25,1249,0,0
1785621227.005274,926,7,0,14,3,48,1697,0,0
1785621227.005274,926,8,4,14,0,43,1537,0,0
1785621227.005274,926,9,6,14,0,51,1825,0,0
1785621227.009339,926,17,2,18,0,51,2304,0,0
1785621227.009339,926,18,3,18,0,51,2304,0,0
1785621227.009339,926,19,5,18,26,25,1121,0,0
1785621227.013256,927,7,6,14,3,48,1697,0,0
1785621227.013256,927,8,4,14,5,46,1633,0,0
1785621227.013256,927,9,0,14,0,51,1825,0,0
1785621227.017509,927,17,5,19,0,51,2562,0,0
1785621227.017509,927,18,3,19,0,51,2562,0,0
1785621227.021442,927,19,2,19,26,25,1249,0,0
1785621227.025274,928,7,0,14,3,48,1697,0,0
1785621227.025274,928,8,4,14,0,43,1537,0,0
1785621227.025274,928,9,6,14,0,51,1825,0,0
1785621227.029339,928,17,2,19,0,51,2562,0,0
1785621227.029339,928,18,3,19,0,51,2562,0,0
1785621227.029339,928,19,5,19,26,25,1249,0,0
1785621227.033256,929,7,6,14,3,48,1697,0,0
1785621227.033256,929,8,4,14,5,46,1633,0,0
1785621227.033256,929,9,0,14,0,51,1825,0,0
1785621227.037509,929,17,5,19,0,51,2562,0,0
1785621227.037509,929,18,3,19,0,51,2562,0,0
1785621227.041442,929,19,2,19,26,25,1249,0,0
1785621227.045275,930,7,0,14,3,48,1697,0,0
1785621227.045275,930,8,4,14,0,43,1537,0,0
1785621227.045275,930,9,6,14,0,51,1825,0,0
1785621227.049340,930,17,2,17,0,51,2178,0,0
1785621227.049340,930,18,3,17,0,51,2178,0,0
1785621227.049340,930,19,5,17,26,25,1057,0,0
1785621227.053257,931,7,6,14,3,48,1697,0,0
1785621227.053257,931,8,4,14,5,46,1633,0,0
1785621227.053257,931,9,0,14,0,51,1825,0,0
1785621227.057509,931,17,5,19,0,51,2562,0,0
1785621227.057509,931,18,3,19,0,51,2562,0,0
1785621227.061442,931,19,2,19,26,25,1249,0,0
1785621227.065274,932,7,0,14,3,48,1697,0,0
1785621227.065274,932,8,4,14,0,43,1537,0,0
1785621227.065274,932,9,6,14,0,51,1825,0,0
1785621227.069342,932,17,2,17,0,51,2178,0,0
1785621227.069342,932,18,3,17,0,51,2178,0,0
1785621227.069342,932,19,5,17,26,25,1057,0,0
1785621227.073257,933,7,6,14,3,48,1697,0,0
1785621227.073257,933,8,4,14,5,46,1633,0,0
1785621227.073257,933,9,0,14,0,51,1825,0,0
1785621227.077509,933,17,5,18,0,51,2304,0,0
1785621227.077509,933,18,3,18,0,51,2304,0,0
1785621227.081442,933,19,2,18,26,25,1121,0,0
1785621227.085274,934,7,0,15,3,48,1889,0,0
1785621227.085274,934,8,4,15,0,43,1697,0,0
1785621227.085274,934,9,6,15,0,51,2017,0,0
1785621227.089342,934,17,2,18,0,51,2304,0,0
1785621227.089342,934,18,3,18,0,51,2304,0,0
1785621227.089342,934,19,5,18,26,25,1121,0,0
1785621227.093257,935,7,6,14,3,48,1697,0,0
1785621227.093257,935,8,4,14,5,46,1633,0,0
1785621227.093257,935,9,0,14,0,51,1825,0,0
1785621227.097509,935,17,5,19,0,51,2562,0,0
1785621227.097509,935,18,3,19,0,51,2562,0,0
1785621227.101441,935,19,2,19,26,25,1249,0,0
1785621227.105274,936,7,0,14,3,48,1697,0,0
1785621227.105274,936,8,4,14,0,43,1537,0,0
1785621227.105274,936,9,6,14,0,51,1825,0,0
1785621227.109340,936,17,2,19,0,51,2562,0,0
1785621227.109340,936,18,3,19,0,51,2562,0,0
1785621227.109340,936,19,5,19,26,25,1249,0,0
1785621227.113256,937,7,6,14,3,48,1697,0,0
1785621227.113256,937,8,4,14,5,46,1633,0,0
1785621227.113256,937,9,0,14,0,51,1825,0,0
1785621227.117509,937,17,5,20,0,51,2817,0,0
1785621227.117509,937,18,3,20,0,51,2817,0,0
1785621227.121441,937,19,2,20,26,25,1377,0,0
1785621227.125275,938,7,0,14,3,48,1697,0,0
1785621227.125275,938,8,4,14,0,43,1537,0,0
1785621227.125275,938,9,6,14,0,51,1825,0,0
1785621227.129340,938,17,2,19,0,51,2562,0,0
1785621227.129340,938,18,3,19,0,51,2562,0,0
1785621227.129340,938,19,5,19,26,25,1249,0,0
1785621227.133257,939,7,6,15,3,48,1889,0,0
1785621227.133257,939,8,4,15,5,46,1825,0,0
1785621227.133257,939,9,0,15,0,51,2017,0,0
1785621227.137510,939,17,5,19,0,51,2562,0,0
1785621227.137510,939,18,3,19,0,51,2562,0,0
1785621227.141442,939,19,2,19,26,25,1249,0,0
1785621227.145275,940,7,0,14,3,48,1697,0,0
1785621227.145275,940,8,4,14,0,43,1537,0,0
1785621227.145275,940,9,6,14,0,51,1825,0,0
1785621227.149339,940,17,2,19,0,51,2562,0,0
1785621227.149339,940,18,3,19,0,51,2562,0,0
1785621227.149339,940,19,5,19,26,25,1249,0,0
1785621227.153256,941,7,6,14,3,48,1697,0,0
1785621227.153256,941,8,4,14,5,46,1633,0,0
1785621227.153256,941,9,0,14,0,51,1825,0,0
1785621227.157509,941,17,5,19,0,51,2562,0,0
1785621227.157509,941,18,3,19,0,51,2562,0,0
1785621227.161441,941,19,2,19,26,25,1249,0,0
1785621227.165275,942,7,0,15,3,48,1889,0,0
1785621227.165275,942,8,4,15,0,43,1697,0,0
1785621227.165275,942,9,6,15,0,51,2017,0,0
1785621227.169339,942,17,2,19,0,51,2562,0,0
1785621227.169339,942,18,3,19,0,51,2562,0,0
1785621227.169339,942,19,5,19,26,25,1249,0,0
1785621227.173256,943,7,6,14,3,48,1697,0,0
1785621227.173256,943,8,4,14,5,46,1633,0,0
1785621227.173256,943,9,0,14,0,51,1825,0,0
1785621227.177509,943,17,5,19,0,51,2562,0,0
1785621227.177509,943,18,3,19,0,51,2562,0,0
1785621227.181442,943,19,2,19,26,25,1249,0,0
1785621227.185273,944,7,0,15,3,48,1889,0,0
1785621227.185273,944,8,4,15,0,43,1697,0,0
1785621227.185273,944,9,6,15,0,51,2017,0,0
1785621227.189339,944,17,2,19,0,51,2562,0,0
1785621227.189339,944,18,3,19,0,51,2562,0,0
1785621227.189339,944,19,5,19,26,25,1249,0,0
1785621227.193256,945,7,6,13,3,48,1505,0,0
1785621227.193256,945,8,4,13,5,46,1441,0,0
1785621227.193256,945,9,0,13,0,51,1601,0,0
1785621227.197509,945,17,5,20,0,51,2817,0,0
1785621227.197509,945,18,3,20,0,51,2817,0,0
1785621227.201441,945,19,2,20,26,25,1377,0,0
1785621227.205273,946,7,0,14,3,48,1697,0,0
1785621227.205273,946,8,4,14,0,43,1537,0,0
1785621227.205273,946,9,6,14,0,51,1825,0,0
1785621227.209340,946,17,2,19,0,51,2562,0,0
1785621227.209340,946,18,3,19,0,51,2562,0,0
1785621227.209340,946,19,5,19,26,25,1249,0,0
1785621227.213256,947,7,6,14,3,48,1697,0,0
1785621227.213256,947,8,4,14,5,46,1633,0,0
1785621227.213256,947,9,0,14,0,51,1825,0,0
1785621227.217504,947,17,5,20,0,51,2817,0,0
1785621227.217504,947,18,3,20,0,51,2817,0,0
1785621227.221441,947,19,2,20,26,25,1377,0,0
1785621227.225276,948,7,0,14,3,48,1697,0,0
1785621227.225276,948,8,4,14,0,43,1537,0,0
1785621227.225276,948,9,6,14,0,51,1825,0,0
1785621227.229339,948,17,2,20,0,51,2817,0,0
1785621227.229339,948,18,3,20,0,51,2817,0,0
1785621227.229339,948,19,5,20,26,25,1377,0,0
1785621227.233256,949,7,6,14,3,48,1697,0,0
1785621227.233256,949,8,4,14,5,46,1633,0,0
1785621227.233256,949,9,0,14,0,51,1825,0,0
1785621227.237509,949,17,5,21,0,51,3009,0,0
1785621227.237509,949,18,3,21,0,51,3009,0,0
1785621227.241441,949,19,2,21,26,25,1473,0,0
1785621227.245274,950,7,0,14,3,48,1697,0,0
1785621227.245274,950,8,4,14,0,43,1537,0,0
1785621227.245274,950,9,6,14,0,51,1825,0,0
1785621227.249340,950,17,2,19,0,51,2562,0,0
1785621227.249340,950,18,3,19,0,51,2562,0,0
1785621227.249340,950,19,5,19,26,25,1249,0,0
1785621227.253256,951,7,6,14,3,48,1697,0,0
1785621227.253256,951,8,4,14,5,46,1633,0,0
1785621227.253256,951,9,0,14,0,51,1825,0,0
1785621227.257508,951,17,5,20,0,51,2817,0,0
1785621227.257508,951,18,3,20,0,51,2817,0,0
1785621227.261441,951,19,2,20,26,25,1377,0,0
1785621227.265274,952,7,0,14,3,48,1697,0,0
1785621227.265274,952,8,4,14,0,43,1537,0,0
1785621227.265274,952,9,6,14,0,51,1825,0,0
1785621227.269339,952,17,2,19,0,51,2562,0,0
1785621227.269339,952,18,3,19,0,51,2562,0,0
1785621227.269339,952,19,5,19,26,25,1249,0,0
1785621227.273256,953,7,6,14,3,48,1697,0,0
1785621227.273256,953,8,4,14,5,46,1633,0,0
1785621227.273256,953,9,0,14,0,51,1825,0,0
1785621227.277508,953,17,5,20,0,51,2817,0,0
1785621227.277508,953,18,3,20,0,51,2817,0,0
1785621227.281442,953,19,2,20,26,25,1377,0,0
1785621227.285275,954,7,0,14,3,48,1697,0,0
1785621227.285275,954,8,4,14,0,43,1537,0,0
1785621227.285275,954,9,6,14,0,51,1825,0,0
1785621227.289339,954,17,2,19,0,51,2562,0,0
1785621227.289339,954,18,3,19,0,51,2562,0,0
1785621227.289339,954,19,5,19,26,25,1249,0,0
1785621227.293257,955,7,6,14,3,48,1697,0,0
1785621227.293257,955,8,4,14,5,46,1633,0,0
1785621227.293257,955,9,0,14,0,51,1825,0,0
