epoch,frame,slot,harq_id,mcs,rb_start,num_rbs,tb_size,rv,tx_type
1785742110.722959,168,7,3,27,0,6,528,0,0
1785742110.742961,170,7,3,20,0,10,544,0,0
1785742111.722957,268,7,3,18,0,12,544,0,0
1785742111.742957,270,7,3,24,0,7,512,0,0
1785742142.782886,302,7,3,22,0,8,512,0,0
1785742142.802886,304,7,3,23,0,8,560,0,0
1785742143.782883,402,7,3,23,0,8,560,0,0
1785742143.802883,404,7,3,23,0,8,560,0,0
1785742144.782881,502,7,3,25,0,7,560,0,0
1785742144.802882,504,7,3,27,0,6,528,0,0
1785742145.382880,562,7,3,27,0,6,528,0,0
1785742145.782879,602,7,3,22,0,8,512,0,0
1785742145.802879,604,7,3,22,0,8,512,0,0
1785742146.782876,702,7,3,24,0,7,512,0,0
1785742146.802876,704,7,3,20,0,10,544,0,0
1785742147.782874,802,7,3,25,0,7,560,0,0
1785742147.802874,804,7,3,25,0,7,560,0,0
1785742148.782872,902,7,3,25,0,7,560,0,0
1785742148.802872,904,7,3,17,0,13,544,0,0
1785742149.782870,1002,7,3,23,0,8,560,0,0
1785742149.790745,1003,7,3,23,0,8,560,0,1
1785742149.822869,1006,7,3,13,0,17,528,0,0
1785742150.782867,78,7,3,15,0,13,512,0,0
1785742150.802868,80,7,3,14,0,15,528,0,0
1785742151.622866,162,7,3,24,0,7,512,0,0
1785742151.642865,164,7,3,28,0,6,544,0,0
1785742151.662865,166,7,3,24,0,7,512,0,0
1785742151.682866,168,7,3,25,0,7,560,0,0
1785742151.702865,170,7,3,25,0,7,560,0,0
1785742151.722865,172,7,3,25,0,7,560,0,0
1785742151.730742,173,7,3,18,0,51,2304,0,0
1785742151.734573,173,8,6,18,5,46,2049,0,0
1785742151.734573,173,9,5,18,0,51,2304,0,0
1785742151.738962,173,17,2,18,0,51,2304,0,0
1785742151.738962,173,18,4,18,0,51,2304,0,0
1785742151.738962,173,19,0,18,26,25,1121,0,0
1785742151.742868,174,7,5,16,0,44,1857,0,0
1785742151.742868,174,8,6,16,0,43,1825,0,0
1785742151.742868,174,9,3,16,0,51,2178,0,0
1785742151.746803,174,17,0,22,0,44,2817,0,0
1785742151.746803,174,18,4,22,0,51,3265,0,0
1785742151.746803,174,19,2,22,26,25,1601,0,0
1785742151.758953,175,17,2,23,0,44,3072,0,0
1785742151.758953,175,18,4,23,0,51,3521,0,0
1785742151.758953,175,19,0,23,26,25,1729,0,0
1785742151.762868,176,7,3,23,0,33,2304,0,0
1785742151.766803,176,17,0,23,0,44,3072,0,0
1785742151.766803,176,18,4,23,0,51,3521,0,0
1785742151.766803,176,19,2,23,26,25,1729,0,0
1785742151.770741,177,7,3,23,0,33,2304,0,1
1785742151.774572,177,8,6,7,5,46,784,0,0
1785742151.774572,177,9,5,7,0,51,864,0,0
1785742151.778962,177,17,2,25,0,51,4033,0,0
1785742151.778962,177,18,4,25,0,51,4033,0,0
1785742151.778962,177,19,0,25,26,25,1985,0,0
1785742151.782868,178,7,5,11,0,44,1057,0,0
1785742151.782868,178,8,6,11,0,43,1057,0,0
1785742151.782868,178,9,3,11,0,51,1249,0,0
1785742151.786804,178,17,0,26,3,48,4033,0,0
1785742151.786804,178,18,4,25,0,51,4033,0,1
1785742151.786804,178,19,2,26,26,25,2112,0,0
1785742151.790748,179,7,3,7,0,51,864,0,0
1785742151.794572,179,8,6,7,5,46,784,0,0
1785742151.794572,179,9,5,7,0,51,864,0,0
1785742151.798959,179,17,2,21,3,48,2880,0,0
1785742151.798959,179,18,4,21,0,51,3009,0,0
1785742151.798959,179,19,0,21,26,25,1473,0,0
1785742151.802868,180,7,5,13,3,48,1505,0,0
1785742151.802868,180,8,6,13,0,43,1345,0,0
1785742151.802868,180,9,3,13,0,51,1601,0,0
1785742151.806803,180,17,0,23,0,44,3072,0,0
1785742151.806803,180,18,4,23,0,51,3521,0,0
1785742151.806803,180,19,2,23,26,25,1729,0,0
1785742151.810740,181,7,3,7,0,44,736,0,0
1785742151.814571,181,8,6,7,5,46,784,0,0
1785742151.814571,181,9,5,7,0,51,864,0,0
1785742151.818953,181,17,0,23,0,44,3072,0,1
1785742151.818953,181,18,4,23,0,51,3521,0,1
1785742151.818953,181,19,2,27,26,25,2178,0,0
1785742151.822868,182,7,5,7,0,51,864,0,0
1785742151.822868,182,8,6,7,0,43,720,0,0
1785742151.822868,182,9,3,7,0,51,864,0,0
1785742151.826802,182,17,2,27,0,44,3841,0,0
1785742151.826802,182,18,4,27,0,51,4482,0,0
1785742151.826802,182,19,0,27,26,25,2178,0,0
1785742151.830747,183,7,3,9,3,48,1057,0,0
1785742151.834570,183,8,6,9,5,46,1008,0,0
1785742151.834570,183,9,5,9,0,51,1121,0,0
1785742151.838953,183,17,2,27,0,44,3841,0,1
1785742151.838953,183,18,4,27,0,51,4482,0,1
1785742151.838953,183,19,0,28,26,25,2304,0,0
1785742151.842868,184,7,5,7,0,51,864,0,0
1785742151.842868,184,8,6,7,0,43,720,0,0
1785742151.842868,184,9,3,7,0,51,864,0,0
1785742151.846803,184,17,0,25,0,44,3521,0,0
1785742151.846803,184,18,4,25,0,51,4033,0,0
1785742151.846803,184,19,2,25,26,25,1985,0,0
1785742151.850746,185,7,3,7,3,48,816,0,0
1785742151.854571,185,8,6,7,5,46,784,0,0
1785742151.854571,185,9,5,7,0,51,864,0,0
1785742151.858952,185,17,0,25,0,44,3521,0,1
1785742151.858952,185,18,4,25,0,51,4033,0,1
1785742151.858952,185,19,2,25,26,25,1985,0,0
1785742151.862868,186,7,5,7,3,48,816,0,0
1785742151.862868,186,8,6,7,0,43,720,0,0
1785742151.862868,186,9,3,7,0,51,864,0,0
1785742151.866803,186,17,0,25,0,44,3521,0,1
1785742151.866803,186,18,4,25,0,51,4033,0,1
1785742151.866803,186,19,2,25,26,25,1985,0,0
1785742151.870747,187,7,3,7,0,51,864,0,0
