# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
DEQ,948837699942555,24,84,130840,0
STATS,948837800308005,0,0,1,1,0,0,0
DEQ,948838701865463,24,84,138327,0
STATS,948838802220548,0,0,2,2,0,0,0
DEQ,948839703765770,24,84,131797,0
STATS,948839804124899,0,0,3,3,0,0,0
DEQ,948840705661595,24,84,131036,0
STATS,948840806016176,0,0,4,4,0,0,0
DEQ,948841541015398,24,60,23562,0
DEQ,948841569590997,24,52,16745,0
DEQ,948841569703016,24,89,99588,0
DEQ,948841593083690,24,52,18085,0
DEQ,948841593122989,24,56,23451,1
DEQ,948841593123520,24,178,15973,0
DEQ,948841613178765,24,60,93456,0
DEQ,948841629532156,24,52,16309,0
DEQ,948841629576997,24,89,37556,0
DEQ,948841653139179,24,52,21360,0
DEQ,948841655095586,24,52,26206,1
DEQ,948841655130582,24,52,50504,0
DEQ,948841655340531,24,1400,92595,3
DEQ,948841655343720,24,1400,87000,2
DEQ,948841655376779,24,1400,112095,3
DEQ,948841655423979,24,1400,157091,4
DEQ,948841655456486,24,1400,106911,3
DEQ,948841655496387,24,1400,142697,4
DEQ,948841655539827,24,1400,161403,3
DEQ,948841655582061,24,1400,201385,2
DEQ,948841655619744,24,1400,161671,1
DEQ,948841655659771,24,1400,199686,0
DEQ,948841677643931,24,1400,96009,1
DEQ,948841677741485,24,1400,184335,0
DEQ,948841683185975,24,1400,108643,3
DEQ,948841683205561,24,1400,120281,4
DEQ,948841683326361,24,1400,234884,3
DEQ,948841683329147,24,1400,235311,2
DEQ,948841683419437,24,1400,225908,3
DEQ,948841683422174,24,1400,221301,2
DEQ,948841683514392,24,1400,180345,1
DEQ,948841683517414,24,1400,179509,0
DEQ,948841689184250,24,1400,112805,3
DEQ,948841689279228,24,1400,199589,4
DEQ,948841689280067,24,1400,194706,3
DEQ,948841689359140,24,1400,271749,4
DEQ,948841689369930,24,1400,176348,3
DEQ,948841689500706,24,1400,302529,4
DEQ,948841689503460,24,1400,218627,3
DEQ,948841689515294,24,1400,226518,2
DEQ,948841689648935,24,1400,275197,1
DEQ,948841689651670,24,1400,273940,0
DEQ,948841695184157,24,1400,111769,3
DEQ,948841695186896,24,1400,105299,2
DEQ,948841695269042,24,1400,181804,3
DEQ,948841695269877,24,1400,180537,2
DEQ,948841695293759,24,1400,102131,3
DEQ,948841695378344,24,1400,182825,4
DEQ,948841695381049,24,1400,106505,3
DEQ,948841695466983,24,1400,188603,4
DEQ,948841695469753,24,1400,171975,3
DEQ,948841695548814,24,1400,248856,2
DEQ,948841695551944,24,1400,166161,1
DEQ,948841695619632,24,1400,229913,0
DEQ,948841702634907,24,1400,93101,3
DEQ,948841702637522,24,1400,86109,2
DEQ,948841702743945,24,1400,188044,1
DEQ,948841702744830,24,1400,186909,0
DEQ,948841707056780,24,84,127836,0
DEQ,948841707175187,24,1400,105737,3
DEQ,948841707176092,24,1400,100463,2
DEQ,948841707275657,24,1400,196050,3
DEQ,948841707278581,24,1400,196691,2
DEQ,948841707295793,24,1400,114654,3
DEQ,948841707436157,24,1400,251133,4
DEQ,948841707518841,24,1400,235513,3
DEQ,948841707532507,24,1400,245066,2
DEQ,948841707678874,24,1400,381648,1
DEQ,948841707772354,24,1400,473090,0
DEQ,948841717648070,24,1400,97620,4
DEQ,948841717650722,24,1400,91534,3
DEQ,948841717676490,24,1400,109619,5
DEQ,948841717763424,24,1400,194342,4
DEQ,948841717764351,24,1400,193212,3
DEQ,948841717765958,24,1400,109849,2
DEQ,948841717877152,24,1400,207288,1
DEQ,948841717879709,24,1400,207797,0
DEQ,948841723178002,24,1400,110968,3
DEQ,948841723180601,24,1400,104268,2
DEQ,948841723267876,24,1400,186102,6
DEQ,948841723268870,24,1400,185063,5
DEQ,948841723269404,24,1400,77663,4
DEQ,948841723301761,24,1400,105345,6
DEQ,948841723418796,24,1400,204516,5
DEQ,948841723502290,24,1400,285904,4
DEQ,948841723504897,24,1400,286416,3
DEQ,948841723512821,24,1400,237272,2
DEQ,948841723592640,24,1400,312687,1
DEQ,948841723595289,24,1400,313176,0
DEQ,948841729155779,24,1400,100125,1
DEQ,948841729158398,24,1400,93435,0
DEQ,948841735213886,24,1400,104756,3
DEQ,948841735216414,24,1400,97978,2
DEQ,948841735218006,24,1400,94001,1
DEQ,948841735318218,24,1400,192260,4
DEQ,948841735319056,24,1400,97207,3
DEQ,948841735409561,24,1400,183765,4
DEQ,948841735412206,24,1400,181059,3
DEQ,948841735491375,24,1400,257618,4
DEQ,948841735493966,24,1400,170039,3
DEQ,948841735579210,24,1400,251300,4
DEQ,948841735581994,24,1400,165094,3
DEQ,948841735646320,24,1400,225517,2
DEQ,948841735649063,24,1400,150474,1
DEQ,948841735734327,24,1400,231840,1
DEQ,948841735737045,24,1400,83499,0
DEQ,948841741186438,24,1400,122997,1
DEQ,948841741189396,24,1400,112886,0
DEQ,948841747197992,24,1400,118631,4
DEQ,948841747284827,24,1400,185759,3
DEQ,948841747302000,24,1400,194509,2
DEQ,948841747414604,24,1400,302061,1
DEQ,948841747443356,24,1400,328842,0
DEQ,948841753203154,24,1400,133358,1
DEQ,948841753206061,24,1400,122426,0
DEQ,948841762621484,24,1400,53966,1
DEQ,948841762662819,24,1400,86879,0
DEQ,948841767187973,24,1400,104665,3
DEQ,948841767207640,24,1400,116024,4
DEQ,948841767340519,24,1400,241802,3
DEQ,948841767343024,24,1400,241718,2
DEQ,948841767436804,24,1400,237705,3
DEQ,948841767439638,24,1400,236738,2
DEQ,948841767454308,24,1400,106355,2
DEQ,948841767625218,24,1400,273175,1
DEQ,948841767631825,24,1400,184142,0
DEQ,948841773164860,24,1400,102742,1
DEQ,948841773167672,24,1400,96670,0
DEQ,948841785350019,24,1400,46612,4
DEQ,948841785448954,24,1400,131797,3
DEQ,948841785449863,24,1400,130125,2
DEQ,948841785467704,24,1400,141880,3
DEQ,948841785542852,24,1400,214712,4
DEQ,948841785553649,24,1400,98933,3
DEQ,948841785638618,24,1400,179804,2
DEQ,948841785641340,24,1400,170302,1
DEQ,948841785646864,24,1400,173902,0
DEQ,948841785737851,24,1400,86506,0
DEQ,948841791187823,24,1400,104987,2
DEQ,948841791203476,24,1400,105100,2
DEQ,948841791332999,24,1400,232317,1
DEQ,948841791335634,24,1400,138230,0
DEQ,948841812195468,24,1400,118675,0
STATS,948841812321460,0,0,147,147,0,0,0
DEQ,948841817183472,24,1400,110316,3
DEQ,948841817202377,24,1400,120477,4
DEQ,948841817329670,24,1400,242753,3
DEQ,948841817332227,24,1400,242920,2
DEQ,948841817414603,24,1400,224361,3
DEQ,948841817417216,24,1400,223028,2
DEQ,948841817497890,24,1400,160904,3
DEQ,948841817500536,24,1400,159579,2
DEQ,948841817516518,24,1400,94661,3
DEQ,948841817598896,24,1400,173191,2
DEQ,948841817601527,24,1400,96331,1
DEQ,948841817602033,24,1400,89732,0
DEQ,948841825321557,24,1400,86671,1
DEQ,948841825343993,24,1400,101405,0
DEQ,948841831168036,24,1400,103867,3
DEQ,948841831170678,24,1400,97775,2
DEQ,948841831192998,24,1400,114070,3
DEQ,948841831284292,24,1400,203134,2
DEQ,948841831285206,24,1400,109814,1
DEQ,948841831367979,24,1400,179446,0
DEQ,948841844345480,24,1400,100576,1
DEQ,948841844348155,24,1400,93817,0
DEQ,948841849172485,24,1400,105522,3
DEQ,948841849175027,24,1400,98762,2
DEQ,948841849198938,24,1400,117013,3
DEQ,948841849310852,24,1400,226903,4
DEQ,948841849313471,24,1400,133511,3
DEQ,948841849313924,24,1400,119804,2
DEQ,948841849322173,24,1400,121411,1
DEQ,948841849433014,24,1400,230070,0
DEQ,948841855251368,24,1400,111874,3
DEQ,948841855253985,24,1400,106171,2
DEQ,948841855277764,24,1400,120577,3
DEQ,948841855363195,24,1400,203868,4
DEQ,948841855368424,24,1400,109549,3
DEQ,948841855498550,24,1400,226187,2
DEQ,948841855501174,24,1400,221580,1
DEQ,948841855585424,24,1400,303621,0
DEQ,948841861153369,24,1400,91347,3
DEQ,948841861155945,24,1400,85282,2
DEQ,948841861239082,24,1400,163379,1
DEQ,948841861239944,24,1400,162254,0
DEQ,948841872214682,24,1400,95678,1
DEQ,948841872221600,24,1400,93270,0
DEQ,948841877184651,24,1400,113763,3
DEQ,948841877203106,24,1400,123926,4
DEQ,948841877327262,24,1400,241061,3
DEQ,948841877329897,24,1400,240963,2
DEQ,948841877341647,24,1400,150401,1
DEQ,948841877456275,24,1400,261084,0
DEQ,948841883156603,24,1400,97925,1
DEQ,948841883159201,24,1400,95948,0
DEQ,948841902213448,24,1400,93566,1
DEQ,948841902216037,24,1400,85946,0
DEQ,948841907009210,24,1400,54875,3
DEQ,948841907048943,24,1400,91574,4
DEQ,948841907096396,24,1400,133056,3
DEQ,948841907128885,24,1400,159520,4
DEQ,948841907168762,24,1400,156166,3
DEQ,948841907208696,24,1400,194059,4
DEQ,948841907252679,24,1400,154765,3
DEQ,948841907292290,24,1400,192129,4
DEQ,948841907333480,24,1400,163470,3
DEQ,948841907377448,24,1400,205507,4
DEQ,948841907425480,24,1400,170707,3
DEQ,948841907464522,24,1400,207802,2
DEQ,948841907465109,24,1400,129243,1
DEQ,948841907502623,24,1400,164667,0
DEQ,948841913151938,24,1400,83921,1
DEQ,948841913154669,24,1400,77057,0
DEQ,948841913254694,24,1400,95565,0
DEQ,948841919202915,24,1400,132198,1
DEQ,948841919205959,24,1400,121678,0
DEQ,948841919320639,24,1400,109764,0
DEQ,948841925173507,24,1400,106699,1
DEQ,948841925176511,24,1400,95951,0
DEQ,948841932225708,24,1400,100331,0
DEQ,948841937204050,24,1400,111491,3
DEQ,948841937206759,24,1400,106447,2
DEQ,948841937208501,24,1400,99275,1
DEQ,948841937295818,24,1400,183855,4
DEQ,948841937296703,24,1400,83788,3
DEQ,948841937388426,24,1400,171081,2
DEQ,948841937391229,24,1400,168583,1
DEQ,948841937478848,24,1400,254126,1
DEQ,948841937481473,24,1400,85530,0
DEQ,948841943184880,24,1400,114826,2
DEQ,948841943279978,24,1400,194430,1
DEQ,948841943280854,24,1400,192593,0
DEQ,948841949174735,24,1400,107336,4
DEQ,948841949177350,24,1400,94824,3
DEQ,948841949258404,24,1400,173746,2
DEQ,948841949262918,24,1400,173583,1
DEQ,948841949264406,24,1400,173255,0
DEQ,948841955183974,24,1400,109516,1
DEQ,948841955206852,24,1400,119939,3
DEQ,948841955320097,24,1400,130151,2
DEQ,948841955322701,24,1400,125173,1
DEQ,948841955323149,24,1400,119789,0
DEQ,948841955417111,24,1400,89395,0
DEQ,948841961170799,24,1400,105507,2
DEQ,948841961173478,24,1400,93837,1
DEQ,948841961260763,24,1400,178874,1
DEQ,948841961261623,24,1400,83941,0
DEQ,948841975373800,24,1400,98565,2
DEQ,948841975376505,24,1400,87750,1
DEQ,948841975396834,24,1400,105738,3
DEQ,948841975487748,24,1400,107077,4
DEQ,948841975488703,24,1400,97464,3
DEQ,948841975489190,24,1400,95787,2
DEQ,948841975554449,24,1400,155772,1
DEQ,948841975564380,24,1400,163515,0
DEQ,948841981183235,24,1400,119608,1
DEQ,948841981185861,24,1400,108714,0
DEQ,948841981310658,24,1400,120498,0
DEQ,948841992267314,24,1400,99483,4
DEQ,948841992269946,24,1400,86639,3
DEQ,948841992352474,24,1400,167018,2
