epoch,fn,slot,trigger,bsr_type,lcg,bsr_index
1785742142.779009,724,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,726,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,824,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,828,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,924,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,926,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,1014,7,T_PERIODIC_EXPIRY_BSR,SHORT_BSR,0,0
1785742142.779009,0,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,2,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,100,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,102,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,200,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,202,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,282,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742142.779009,284,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,302,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,304,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,402,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,404,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,502,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,504,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,562,7,T_PERIODIC_EXPIRY_BSR,SHORT_BSR,0,0
1785742149.778990,602,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,604,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,702,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,704,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,802,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,804,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,902,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742149.778990,904,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,1002,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,1006,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,78,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,80,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,162,7,T_PERIODIC_EXPIRY_BSR | HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,164,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,166,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,168,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,170,7,HIGH_DATA_ARRIVAL,SHORT_BSR,0,0
1785742151.773983,172,7,HIGH_DATA_ARRIVAL,SHORT_BSR,2,23
1785742151.773983,173,7,T_PERIODIC_EXPIRY_BSR,SHORT_BSR,2,23
1785742151.773983,174,7,T_PERIODIC_EXPIRY_BSR,SHORT_BSR,2,18
1785742151.773983,174,17,HIGH_DATA_ARRIVAL,SHORT_BSR,2,22
