# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
DEQ,948729788018260,24,84,91397,0
STATS,948730489723007,0,0,1,1,0,0,0
DEQ,948730789856629,24,84,22639,0
STATS,948731491564289,0,0,2,2,0,0,0
DEQ,948731791748529,24,84,22574,0
STATS,948732493490161,0,0,3,3,0,0,0
DEQ,948732793658590,24,84,25062,0
STATS,948733495373290,0,0,4,4,0,0,0
DEQ,948733795603385,24,84,22646,0
DEQ,948734222226101,24,60,64143,0
DEQ,948734250545387,24,52,20320,0
DEQ,948734250701781,24,89,60108,0
DEQ,948734273731423,24,52,23847,0
DEQ,948734273889517,24,56,63441,1
DEQ,948734273892443,24,215,54208,0
DEQ,948734293927097,24,32,57108,0
DEQ,948734308753654,24,52,78047,0
DEQ,948734314096283,24,1376,138793,9
DEQ,948734314099745,24,1376,131628,8
DEQ,948734314196281,24,1376,224787,8
DEQ,948734314277214,24,1376,302692,7
DEQ,948734314280197,24,1376,302467,6
DEQ,948734314354703,24,1376,374027,5
DEQ,948734314357577,24,1376,373834,4
DEQ,948734314440474,24,1376,453767,3
DEQ,948734314443359,24,1376,453320,2
DEQ,948734314535595,24,1376,542618,1
DEQ,948734314538467,24,1376,408221,0
DEQ,948734314757082,24,1376,87712,0
DEQ,948734315364881,24,1376,135578,0
DEQ,948734315902334,24,1376,135427,0
DEQ,948734316446239,24,1376,138923,0
DEQ,948734316980238,24,1376,135816,0
DEQ,948734317521855,24,1376,137690,0
DEQ,948734318072756,24,1376,149149,0
DEQ,948734318603223,24,1376,141465,0
DEQ,948734319144258,24,1376,123791,0
DEQ,948734319693366,24,1376,153030,0
DEQ,948734320194433,24,1376,127946,0
DEQ,948734320756037,24,1376,137003,0
DEQ,948734321309964,24,1376,151920,0
DEQ,948734321832151,24,1376,134951,0
DEQ,948734322348375,24,1376,130196,0
DEQ,948734322938164,24,1376,163386,0
DEQ,948734323391566,24,1376,95460,0
DEQ,948734323993499,24,1376,139555,0
DEQ,948734324533039,24,1376,139694,0
DEQ,948734324987288,24,1376,55391,0
DEQ,948734325615314,24,1376,143401,0
DEQ,948734326133322,24,1376,111662,0
DEQ,948734326693121,24,1376,142719,0
DEQ,948734327153791,24,1376,83580,0
DEQ,948734327763654,24,1376,135031,0
DEQ,948734328271209,24,1376,103557,0
DEQ,948734328844833,24,1376,138137,0
DEQ,948734329321818,24,1376,94544,0
DEQ,948734329851100,24,1376,65264,0
DEQ,948734330467235,24,1376,141708,0
DEQ,948734331000022,24,1376,136868,0
DEQ,948734331552140,24,1376,148574,0
DEQ,948734332086268,24,1376,144022,0
DEQ,948734332620980,24,1376,138095,0
DEQ,948734333136822,24,1376,109394,0
DEQ,948734333704853,24,1376,143932,0
DEQ,948734334216482,24,1376,136485,0
DEQ,948734334778637,24,1376,140570,0
DEQ,948734335298508,24,1376,140470,0
DEQ,948734335854138,24,1376,137712,0
DEQ,948734336363588,24,1376,126211,0
