epoch,frame,slot,harq_id,mcs,rb_start,num_rbs,tb_size,rv,tx_type
1785812015.685330,90,19,7,28,0,6,544,0,0
1785812015.709139,93,7,7,28,0,6,544,0,0
1785812016.689140,191,7,7,28,0,6,544,0,0
1785812016.709136,193,7,7,28,0,6,544,0,0
1785812047.749056,225,7,7,28,0,6,544,0,0
1785812047.757053,226,7,7,28,5,6,544,0,1
1785812047.769057,227,7,7,28,0,6,544,0,1
1785812047.789057,229,7,7,19,0,11,544,0,0
1785812048.329055,283,7,7,28,0,6,544,0,0
1785812048.749054,325,7,7,28,0,6,544,0,0
1785812048.769054,327,7,7,28,0,6,544,0,0
1785812048.777052,328,7,7,28,5,6,544,0,1
1785812049.749051,425,7,7,28,0,6,544,0,0
1785812049.769051,427,7,7,28,0,6,544,0,0
1785812049.777049,428,7,7,28,5,6,544,0,1
1785812049.789051,429,7,7,28,0,6,544,0,1
1785812049.797049,430,7,7,28,5,6,544,0,1
1785812049.809051,431,7,7,28,0,6,544,0,1
1785812050.749049,525,7,7,18,0,12,544,0,0
1785812050.769049,527,7,7,20,0,10,544,0,0
1785812051.229047,573,7,7,20,0,10,544,0,0
1785812051.749046,625,7,7,25,0,7,560,0,0
1785812051.769046,627,7,7,28,0,6,544,0,0
1785812051.777044,628,7,7,28,5,6,544,0,1
1785812052.749044,725,7,7,26,0,7,592,0,0
1785812052.769044,727,7,7,28,0,6,544,0,0
1785812053.749041,825,7,7,28,0,6,544,0,0
1785812053.769042,827,7,7,28,0,6,544,0,0
1785812054.749039,925,7,7,28,0,6,544,0,0
1785812054.769039,927,7,7,28,0,6,544,0,0
1785812055.749036,1,7,7,27,0,6,528,0,0
1785812055.769036,3,7,7,28,0,6,544,0,0
1785812056.069036,33,7,7,28,0,6,544,0,0
1785812056.089036,35,7,7,28,0,6,544,0,0
1785812056.109036,37,7,7,28,0,6,544,0,0
1785812056.117033,38,7,7,28,5,6,544,0,1
1785812056.129036,39,7,7,28,0,6,544,0,1
1785812056.149036,41,7,7,25,0,7,560,0,0
1785812056.169036,43,7,7,28,0,6,544,0,0
1785812056.185221,44,19,7,28,0,6,544,0,0
1785812056.193116,45,17,7,28,0,51,4612,0,0
1785812056.193116,45,18,3,28,0,51,4612,0,0
1785812056.193116,45,19,6,28,26,25,2304,0,0
1785812056.197031,46,7,5,28,5,36,3329,0,0
1785812056.201276,46,17,7,28,0,51,4612,0,1
1785812056.201276,46,18,3,28,0,51,4612,0,1
1785812056.205221,46,19,6,28,26,25,2304,0,1
1785812056.209040,47,7,5,28,0,36,3329,0,1
1785812056.213104,47,17,7,28,0,51,4612,0,1
1785812056.213104,47,18,3,28,0,51,4612,0,1
1785812056.213104,47,19,6,28,26,25,2304,0,1
1785812056.217037,48,7,5,28,5,36,3329,0,1
1785812056.221284,48,17,7,28,0,51,4612,0,1
1785812056.221284,48,18,3,28,0,51,4612,0,1
1785812056.225221,48,19,6,28,26,25,2304,0,1
1785812056.229041,49,7,5,28,0,36,3329,0,1
1785812056.233105,49,17,7,28,0,51,4612,0,1
1785812056.233105,49,18,3,28,0,51,4612,0,1
1785812056.233105,49,19,6,28,26,25,2304,0,1
1785812056.237036,50,7,5,28,5,36,3329,0,1
1785812056.241283,50,17,6,16,0,51,2178,0,0
1785812056.241283,50,18,3,16,0,51,2178,0,0
1785812056.245220,50,19,7,16,26,25,1057,0,0
1785812056.249034,51,7,5,11,0,51,1249,0,0
1785812056.249034,51,8,2,11,0,51,1249,0,0
1785812056.249034,51,9,4,11,0,51,1249,0,0
1785812056.289035,55,7,4,12,0,19,528,0,0
1785812056.297032,56,7,4,25,5,46,3649,0,0
1785812056.297032,56,8,2,25,8,43,3393,0,0
1785812056.297032,56,9,5,25,0,51,4033,0,0
1785812056.301286,56,17,7,25,0,47,3713,0,0
1785812056.309042,57,7,4,25,0,46,3649,0,1
