epoch,frame,slot,harq_id,mcs,rb_start,num_rbs,tb_size,rv,tx_type
1785742218.882707,744,7,1,18,0,12,544,0,0
1785742218.902706,746,7,1,18,0,12,544,0,0
1785742219.882704,844,7,1,17,0,13,544,0,0
1785742219.902703,846,7,1,19,0,11,544,0,0
1785742220.882701,944,7,1,20,0,10,544,0,0
1785742220.902701,946,7,1,18,0,12,544,0,0
1785742220.962702,952,7,1,18,0,12,544,0,0
1785811939.829339,697,7,5,28,0,6,544,0,0
1785811939.869339,701,7,5,28,0,6,544,0,0
1785811940.829337,797,7,5,28,0,6,544,0,0
1785811940.849336,799,7,5,28,0,6,544,0,0
1785811941.849334,899,7,5,28,0,6,544,0,0
1785811941.869334,901,7,5,28,0,6,544,0,0
1785811942.849332,999,7,5,28,0,6,544,0,0
1785811942.869331,1001,7,5,28,0,6,544,0,0
1785811943.849328,75,7,5,28,0,6,544,0,0
1785811943.869329,77,7,5,28,0,6,544,0,0
1785811943.909328,81,7,5,28,0,6,544,0,0
1785811943.917637,82,7,5,28,5,6,544,0,1
1785811943.929328,83,7,5,28,0,6,544,0,1
1785811944.849326,175,7,5,23,0,8,560,0,0
1785811944.869326,177,7,5,27,0,6,528,0,0
1785811945.849324,275,7,5,28,0,6,544,0,0
1785811945.869323,277,7,5,28,0,6,544,0,0
1785811946.089323,299,7,5,28,0,6,544,0,0
1785811946.849321,375,7,5,28,0,6,544,0,0
1785811946.869321,377,7,5,28,0,6,544,0,0
1785811947.849318,475,7,5,28,0,6,544,0,0
1785811947.869318,477,7,5,28,0,6,544,0,0
1785811947.877628,478,7,5,28,5,6,544,0,1
1785811948.729316,563,7,5,28,0,6,544,0,0
1785811948.737625,564,7,5,28,5,6,544,0,1
1785811948.749316,565,7,5,28,0,6,544,0,1
1785811948.757625,566,7,5,28,5,6,544,0,1
1785811948.789316,569,7,5,27,0,6,528,0,0
1785811948.809316,571,7,5,28,0,6,544,0,0
1785811948.829317,573,7,5,28,0,6,544,0,0
1785811948.837626,574,7,5,28,5,6,544,0,1
1785811948.869316,577,7,5,28,0,6,544,0,0
1785811948.877628,578,7,5,28,5,46,4227,0,0
1785811948.877628,578,8,3,28,8,43,3969,0,0
1785811948.877628,578,9,4,28,0,51,4612,0,0
1785811948.881563,578,17,7,28,0,51,4612,0,0
1785811948.881563,578,18,0,28,0,51,4612,0,0
1785811948.885500,578,19,6,28,26,25,2304,0,0
1785811948.889321,579,7,5,28,0,46,4227,0,1
1785811948.889321,579,8,3,28,0,43,3969,0,1
1785811948.889321,579,9,4,28,0,51,4612,0,1
1785811948.893383,579,17,7,28,0,51,4612,0,1
1785811948.893383,579,18,0,28,0,51,4612,0,1
1785811948.893383,579,19,6,28,26,25,2304,0,1
1785811948.897628,580,7,5,28,5,46,4227,0,1
1785811948.897628,580,8,3,28,8,43,3969,0,1
1785811948.897628,580,9,4,28,0,51,4612,0,1
1785811948.901563,580,17,7,28,0,51,4612,0,1
1785811948.901563,580,18,0,28,0,51,4612,0,1
1785811948.905500,580,19,6,28,26,25,2304,0,1
1785811948.909320,581,7,5,28,0,46,4227,0,1
1785811948.909320,581,8,3,28,0,43,3969,0,1
1785811948.909320,581,9,4,28,0,51,4612,0,1
1785811948.913383,581,17,7,28,0,51,4612,0,1
1785811948.913383,581,18,0,28,0,51,4612,0,1
1785811948.913383,581,19,6,28,26,25,2304,0,1
1785811948.917628,582,7,5,28,5,46,4227,0,1
1785811948.917628,582,8,3,28,8,43,3969,0,1
1785811948.917628,582,9,4,28,0,51,4612,0,1
1785811948.921563,582,17,7,28,0,51,4612,0,1
1785811948.921563,582,18,0,28,0,51,4612,0,1
1785811948.925501,582,19,6,28,26,25,2304,0,1
1785811948.929332,583,7,4,12,0,51,1409,0,0
1785811948.929332,583,8,3,12,0,51,1409,0,0
1785811948.929332,583,9,5,12,0,51,1409,0,0
1785811948.933402,583,17,6,17,0,51,2178,0,0
1785811948.933402,583,18,0,17,0,51,2178,0,0
1785811948.933402,583,19,7,17,26,25,1057,0,0
1785811948.937628,584,7,5,12,5,46,1281,0,0
1785811948.937628,584,8,3,12,8,43,1185,0,0
1785811948.937628,584,9,4,12,0,51,1409,0,0
1785811948.941562,584,17,7,16,0,51,2178,0,0
1785811948.941562,584,18,0,16,0,51,2178,0,0
1785811948.945508,584,19,6,16,26,25,1057,0,0
1785811948.949330,585,7,4,12,0,51,1409,0,0
1785811948.949330,585,8,3,12,0,51,1409,0,0
1785811948.949330,585,9,5,12,0,51,1409,0,0
1785811948.953397,585,17,6,17,1,50,2112,0,0
1785811948.953397,585,18,0,17,0,51,2178,0,0
1785811948.953397,585,19,7,17,26,25,1057,0,0
1785811948.957627,586,7,5,11,5,46,1121,0,0
1785811948.957627,586,8,3,11,8,43,1057,0,0
1785811948.957627,586,9,4,11,0,51,1249,0,0
1785811948.961564,586,17,7,15,1,50,1985,0,0
1785811948.961564,586,18,0,15,0,51,2017,0,0
1785811948.965500,586,19,6,15,26,25,992,0,0
1785811948.969335,587,7,4,11,0,51,1249,0,0
1785811948.969335,587,8,3,11,0,51,1249,0,0
1785811948.969335,587,9,5,11,0,51,1249,0,0
1785811948.973399,587,17,6,15,0,51,2017,0,0
1785811948.973399,587,18,0,15,0,51,2017,0,0
1785811948.973399,587,19,7,15,26,25,992,0,0
1785811948.977634,588,7,5,12,5,46,1281,0,0
1785811948.977634,588,8,3,12,8,43,1185,0,0
1785811948.977634,588,9,4,12,0,51,1409,0,0
1785811948.981565,588,17,7,16,0,51,2178,0,0
1785811948.981565,588,18,0,16,0,51,2178,0,0
1785811948.985501,588,19,6,16,26,25,1057,0,0
1785811948.989337,589,7,4,11,0,51,1249,0,0
1785811948.989337,589,8,3,11,0,51,1249,0,0
1785811948.989337,589,9,5,11,0,51,1249,0,0
1785811948.993395,589,17,6,15,0,51,2017,0,0
1785811948.993395,589,18,0,15,0,51,2017,0,0
1785811948.993395,589,19,7,15,26,25,992,0,0
1785811948.997628,590,7,5,12,5,46,1281,0,0
1785811948.997628,590,8,3,12,8,43,1185,0,0
1785811948.997628,590,9,4,12,0,51,1409,0,0
1785811949.001562,590,17,7,16,0,51,2178,0,0
1785811949.001562,590,18,0,16,0,51,2178,0,0
1785811949.005500,590,19,6,16,26,25,1057,0,0
1785811949.009332,591,7,4,12,0,51,1409,0,0
1785811949.009332,591,8,3,12,0,51,1409,0,0
1785811949.009332,591,9,5,12,0,51,1409,0,0
1785811949.013402,591,17,6,16,0,51,2178,0,0
1785811949.013402,591,18,0,16,0,51,2178,0,0
1785811949.013402,591,19,7,16,26,25,1057,0,0
1785811949.017627,592,7,5,12,5,46,1281,0,0
1785811949.017627,592,8,3,12,8,43,1185,0,0
1785811949.017627,592,9,4,12,0,51,1409,0,0
1785811949.021563,592,17,7,16,1,50,2112,0,0
1785811949.021563,592,18,0,16,0,51,2178,0,0
1785811949.025508,592,19,6,16,26,25,1057,0,0
1785811949.029331,593,7,4,10,0,51,1121,0,0
1785811949.029331,593,8,3,10,0,51,1121,0,0
1785811949.029331,593,9,5,10,0,51,1121,0,0
1785811949.033397,593,17,6,16,1,50,2112,0,0
1785811949.033397,593,18,0,16,0,51,2178,0,0
1785811949.033397,593,19,7,16,26,25,1057,0,0
1785811949.037628,594,7,5,12,5,46,1281,0,0
1785811949.037628,594,8,3,12,8,43,1185,0,0
1785811949.037628,594,9,4,12,0,51,1409,0,0
1785811949.041562,594,17,7,16,0,51,2178,0,0
1785811949.041562,594,18,0,16,0,51,2178,0,0
1785811949.045500,594,19,6,16,26,25,1057,0,0
1785811949.049332,595,7,4,12,1,50,1409,0,0
1785811949.049332,595,8,3,12,0,51,1409,0,0
1785811949.049332,595,9,5,12,0,51,1409,0,0
1785811949.053399,595,17,6,16,0,51,2178,0,0
1785811949.053399,595,18,0,16,0,51,2178,0,0
1785811949.053399,595,19,7,16,26,25,1057,0,0
1785811949.057628,596,7,5,12,5,46,1281,0,0
1785811949.057628,596,8,3,12,8,43,1185,0,0
1785811949.057628,596,9,4,12,0,51,1409,0,0
1785811949.061563,596,17,7,16,0,51,2178,0,0
1785811949.061563,596,18,0,16,0,51,2178,0,0
1785811949.065500,596,19,6,16,26,25,1057,0,0
1785811949.069332,597,7,4,12,0,51,1409,0,0
1785811949.069332,597,8,3,12,0,51,1409,0,0
1785811949.069332,597,9,5,12,0,51,1409,0,0
1785811949.073394,597,17,6,16,1,50,2112,0,0
1785811949.073394,597,18,0,16,0,51,2178,0,0
1785811949.073394,597,19,7,16,26,25,1057,0,0
1785811949.077627,598,7,5,12,5,46,1281,0,0
1785811949.077627,598,8,3,12,8,43,1185,0,0
1785811949.077627,598,9,4,12,0,51,1409,0,0
1785811949.081562,598,17,7,16,1,50,2112,0,0
1785811949.081562,598,18,0,16,0,51,2178,0,0
1785811949.085500,598,19,6,16,26,25,1057,0,0
1785811949.089331,599,7,4,11,0,51,1249,0,0
1785811949.089331,599,8,3,11,0,51,1249,0,0
1785811949.089331,599,9,5,11,0,51,1249,0,0
1785811949.093400,599,17,6,16,0,51,2178,0,0
1785811949.093400,599,18,0,16,0,51,2178,0,0
1785811949.093400,599,19,7,16,26,25,1057,0,0
1785811949.097628,600,7,5,12,5,46,1281,0,0
1785811949.097628,600,8,3,12,8,43,1185,0,0
1785811949.097628,600,9,4,12,0,51,1409,0,0
1785811949.101561,600,17,7,16,0,51,2178,0,0
1785811949.101561,600,18,0,16,0,51,2178,0,0
1785811949.105499,600,19,6,16,26,25,1057,0,0
1785811949.109330,601,7,4,11,1,50,1217,0,0
1785811949.109330,601,8,3,11,0,51,1249,0,0
1785811949.109330,601,9,5,11,0,51,1249,0,0
1785811949.113403,601,17,6,16,0,51,2178,0,0
1785811949.113403,601,18,0,16,0,51,2178,0,0
1785811949.113403,601,19,7,16,26,25,1057,0,0
1785811949.117627,602,7,5,12,5,46,1281,0,0
1785811949.117627,602,8,3,12,8,43,1185,0,0
1785811949.117627,602,9,4,12,0,51,1409,0,0
1785811949.121562,602,17,7,16,1,50,2112,0,0
1785811949.121562,602,18,0,16,0,51,2178,0,0
1785811949.125508,602,19,6,16,26,25,1057,0,0
1785811949.129332,603,7,4,11,0,51,1249,0,0
1785811949.129332,603,8,3,11,0,51,1249,0,0
1785811949.129332,603,9,5,11,0,51,1249,0,0
1785811949.133394,603,17,6,16,1,50,2112,0,0
1785811949.133394,603,18,0,16,0,51,2178,0,0
1785811949.133394,603,19,7,16,26,25,1057,0,0
1785811949.137627,604,7,5,12,5,46,1281,0,0
1785811949.137627,604,8,3,12,8,43,1185,0,0
1785811949.137627,604,9,4,12,0,51,1409,0,0
1785811949.141563,604,17,7,16,0,51,2178,0,0
1785811949.141563,604,18,0,16,0,51,2178,0,0
1785811949.145499,604,19,6,16,26,25,1057,0,0
1785811949.149330,605,7,4,12,1,50,1409,0,0
1785811949.149330,605,8,3,12,0,51,1409,0,0
1785811949.149330,605,9,5,12,0,51,1409,0,0
1785811949.153400,605,17,6,16,0,51,2178,0,0
1785811949.153400,605,18,0,16,0,51,2178,0,0
1785811949.153400,605,19,7,16,26,25,1057,0,0
1785811949.157627,606,7,5,12,5,46,1281,0,0
1785811949.157627,606,8,3,12,8,43,1185,0,0
1785811949.157627,606,9,4,12,0,51,1409,0,0
1785811949.161562,606,17,7,16,0,25,1057,0,1
1785811949.161562,606,18,0,16,0,51,2178,0,0
1785811949.165506,606,19,6,16,26,25,1057,0,0
1785811949.169330,607,7,4,11,0,51,1249,0,0
1785811949.169330,607,8,3,11,0,51,1249,0,0
1785811949.169330,607,9,5,11,0,51,1249,0,0
1785811949.173395,607,17,6,16,1,50,2112,0,0
1785811949.173395,607,18,0,16,0,51,2178,0,0
1785811949.173395,607,19,7,16,26,25,1057,0,0
1785811949.177627,608,7,5,11,5,46,1121,0,0
1785811949.177627,608,8,3,11,8,43,1057,0,0
1785811949.177627,608,9,4,11,0,51,1249,0,0
1785811949.181561,608,17,7,15,0,51,2017,0,0
1785811949.181561,608,18,0,15,0,51,2017,0,0
1785811949.185499,608,19,6,15,26,25,992,0,0
1785811949.189331,609,7,4,9,1,50,1089,0,0
1785811949.189331,609,8,3,9,0,51,1121,0,0
1785811949.189331,609,9,5,9,0,51,1121,0,0
1785811949.193404,609,17,6,15,0,51,2017,0,0
1785811949.193404,609,18,0,15,0,51,2017,0,0
1785811949.193404,609,19,7,15,26,25,992,0,0
1785811949.197626,610,7,5,10,5,46,1008,0,0
1785811949.197626,610,8,3,10,8,43,944,0,0
1785811949.197626,610,9,4,10,0,51,1121,0,0
1785811949.201561,610,17,7,15,1,50,1985,0,0
1785811949.201561,610,18,0,15,0,51,2017,0,0
1785811949.205507,610,19,6,15,26,25,992,0,0
1785811949.209330,611,7,4,10,0,51,1121,0,0
1785811949.209330,611,8,3,10,0,51,1121,0,0
1785811949.209330,611,9,5,10,0,51,1121,0,0
1785811949.213396,611,17,6,15,1,50,1985,0,0
1785811949.213396,611,18,0,15,0,51,2017,0,0
1785811949.213396,611,19,7,15,26,25,992,0,0
1785811949.217627,612,7,5,12,5,46,1281,0,0
1785811949.217627,612,8,3,12,8,43,1185,0,0
1785811949.217627,612,9,4,12,0,51,1409,0,0
1785811949.221561,612,17,7,16,0,51,2178,0,0
1785811949.221561,612,18,0,16,0,51,2178,0,0
1785811949.225498,612,19,6,16,26,25,1057,0,0
1785811949.229331,613,7,4,12,1,50,1409,0,0
1785811949.229331,613,8,3,12,0,51,1409,0,0
1785811949.229331,613,9,5,12,0,51,1409,0,0
1785811949.233401,613,17,6,16,0,51,2178,0,0
1785811949.233401,613,18,0,16,0,51,2178,0,0
1785811949.233401,613,19,7,16,26,25,1057,0,0
1785811949.237627,614,7,5,12,5,46,1281,0,0
1785811949.237627,614,8,3,12,8,43,1185,0,0
1785811949.237627,614,9,4,12,0,51,1409,0,0
1785811949.241564,614,17,7,16,0,51,2178,0,0
1785811949.241564,614,18,0,16,0,51,2178,0,0
1785811949.245508,614,19,6,16,26,25,1057,0,0
1785811949.249331,615,7,4,11,0,51,1249,0,0
1785811949.249331,615,8,3,11,0,51,1249,0,0
1785811949.249331,615,9,5,11,0,51,1249,0,0
1785811949.253396,615,17,6,16,1,50,2112,0,0
1785811949.253396,615,18,0,16,0,51,2178,0,0
1785811949.253396,615,19,7,16,26,25,1057,0,0
1785811949.257627,616,7,5,12,5,46,1281,0,0
1785811949.257627,616,8,3,12,8,43,1185,0,0
1785811949.257627,616,9,4,12,0,51,1409,0,0
1785811949.261562,616,17,7,16,1,50,2112,0,0
1785811949.261562,616,18,0,16,0,51,2178,0,0
1785811949.265499,616,19,6,16,26,25,1057,0,0
1785811949.269331,617,7,4,12,0,51,1409,0,0
1785811949.269331,617,8,3,12,0,51,1409,0,0
1785811949.269331,617,9,5,12,0,51,1409,0,0
1785811949.273401,617,17,6,16,0,51,2178,0,0
1785811949.273401,617,18,0,16,0,51,2178,0,0
1785811949.273401,617,19,7,16,26,25,1057,0,0
1785811949.277626,618,7,5,12,5,46,1281,0,0
1785811949.277626,618,8,3,12,8,43,1185,0,0
1785811949.277626,618,9,4,12,0,51,1409,0,0
1785811949.281562,618,17,7,16,0,51,2178,0,0
1785811949.281562,618,18,0,16,0,51,2178,0,0
1785811949.285499,618,19,6,16,26,25,1057,0,0
1785811949.289330,619,7,4,11,0,51,1249,0,0
1785811949.289330,619,8,3,11,0,51,1249,0,0
1785811949.289330,619,9,5,11,0,51,1249,0,0
1785811949.293395,619,17,6,16,1,50,2112,0,0
1785811949.293395,619,18,0,16,0,51,2178,0,0
1785811949.293395,619,19,7,16,26,25,1057,0,0
1785811949.297627,620,7,5,12,5,46,1281,0,0
1785811949.297627,620,8,3,12,8,43,1185,0,0
1785811949.297627,620,9,4,12,0,51,1409,0,0
1785811949.301567,620,17,7,16,1,50,2112,0,0
1785811949.301567,620,18,0,16,0,51,2178,0,0
1785811949.305499,620,19,6,16,26,25,1057,0,0
1785811949.309331,621,7,4,12,0,51,1409,0,0
1785811949.309331,621,8,3,12,0,51,1409,0,0
1785811949.309331,621,9,5,12,0,51,1409,0,0
1785811949.313400,621,17,6,16,0,51,2178,0,0
1785811949.313400,621,18,0,16,0,51,2178,0,0
1785811949.313400,621,19,7,16,26,25,1057,0,0
1785811949.317626,622,7,5,12,5,46,1281,0,0
1785811949.317626,622,8,3,12,8,43,1185,0,0
1785811949.317626,622,9,4,12,0,51,1409,0,0
1785811949.321562,622,17,7,14,0,51,1825,0,0
1785811949.321562,622,18,0,14,0,51,1825,0,0
1785811949.325499,622,19,6,14,26,25,896,0,0
1785811949.329330,623,7,4,11,1,50,1217,0,0
1785811949.329330,623,8,3,11,0,51,1249,0,0
1785811949.329330,623,9,5,11,0,51,1249,0,0
1785811949.333395,623,17,6,14,0,51,1825,0,0
1785811949.333395,623,18,0,14,0,51,1825,0,0
1785811949.333395,623,19,7,14,26,25,896,0,0
1785811949.337626,624,7,5,12,5,46,1281,0,0
1785811949.337626,624,8,3,12,8,43,1185,0,0
1785811949.337626,624,9,4,12,0,51,1409,0,0
1785811949.341561,624,17,7,16,1,50,2112,0,0
1785811949.341561,624,18,0,16,0,51,2178,0,0
1785811949.345499,624,19,6,16,26,25,1057,0,0
1785811949.349331,625,7,4,10,0,51,1121,0,0
1785811949.349331,625,8,3,10,0,51,1121,0,0
1785811949.349331,625,9,5,10,0,51,1121,0,0
1785811949.353400,625,17,6,16,0,51,2178,0,0
1785811949.353400,625,18,0,16,0,51,2178,0,0
1785811949.353400,625,19,7,16,26,25,1057,0,0
1785811949.357627,626,7,5,11,5,46,1121,0,0
1785811949.357627,626,8,3,11,8,43,1057,0,0
1785811949.357627,626,9,4,11,0,51,1249,0,0
1785811949.361561,626,17,7,15,0,51,2017,0,0
1785811949.361561,626,18,0,15,0,51,2017,0,0
1785811949.365498,626,19,6,15,26,25,992,0,0
1785811949.369330,627,7,4,11,1,50,1217,0,0
1785811949.369330,627,8,3,11,0,51,1249,0,0
1785811949.369330,627,9,5,11,0,51,1249,0,0
1785811949.373402,627,17,6,16,0,51,2178,0,0
1785811949.373402,627,18,0,16,0,51,2178,0,0
1785811949.373402,627,19,7,16,26,25,1057,0,0
1785811949.377626,628,7,5,11,5,46,1121,0,0
1785811949.377626,628,8,3,11,8,43,1057,0,0
1785811949.377626,628,9,4,11,0,51,1249,0,0
1785811949.381561,628,17,7,15,1,50,1985,0,0
1785811949.381561,628,18,0,15,0,51,2017,0,0
1785811949.385507,628,19,6,15,26,25,992,0,0
1785811949.389329,629,7,4,10,0,51,1121,0,0
1785811949.389329,629,8,3,10,0,51,1121,0,0
1785811949.389329,629,9,5,10,0,51,1121,0,0
1785811949.393396,629,17,6,15,1,50,1985,0,0
1785811949.393396,629,18,0,15,0,51,2017,0,0
1785811949.393396,629,19,7,15,26,25,992,0,0
1785811949.397627,630,7,5,12,5,46,1281,0,0
1785811949.397627,630,8,3,12,8,43,1185,0,0
1785811949.397627,630,9,4,12,0,51,1409,0,0
1785811949.401561,630,17,7,15,0,51,2017,0,0
1785811949.401561,630,18,0,15,0,51,2017,0,0
1785811949.405499,630,19,6,15,26,25,992,0,0
1785811949.409330,631,7,4,10,1,50,1089,0,0
1785811949.409330,631,8,3,10,0,51,1121,0,0
1785811949.409330,631,9,5,10,0,51,1121,0,0
1785811949.413395,631,17,6,15,0,51,2017,0,0
1785811949.413395,631,18,0,15,0,51,2017,0,0
1785811949.413395,631,19,7,15,26,25,992,0,0
1785811949.417627,632,7,5,12,5,46,1281,0,0
1785811949.417627,632,8,3,12,8,43,1185,0,0
1785811949.417627,632,9,4,12,0,51,1409,0,0
1785811949.421561,632,17,7,16,1,50,2112,0,0
1785811949.421561,632,18,0,16,0,51,2178,0,0
1785811949.425499,632,19,6,16,26,25,1057,0,0
1785811949.429330,633,7,4,12,0,51,1409,0,0
1785811949.429330,633,8,3,12,0,51,1409,0,0
1785811949.429330,633,9,5,12,0,51,1409,0,0
1785811949.433393,633,17,6,16,1,50,2112,0,0
1785811949.433393,633,18,0,16,0,51,2178,0,0
1785811949.433393,633,19,7,16,26,25,1057,0,0
1785811949.437627,634,7,5,12,5,46,1281,0,0
1785811949.437627,634,8,3,12,8,43,1185,0,0
1785811949.437627,634,9,4,12,0,51,1409,0,0
1785811949.441562,634,17,7,16,0,51,2178,0,0
1785811949.441562,634,18,0,16,0,51,2178,0,0
1785811949.445498,634,19,6,16,26,25,1057,0,0
1785811949.449330,635,7,4,12,1,50,1409,0,0
1785811949.449330,635,8,3,12,0,51,1409,0,0
1785811949.449330,635,9,5,12,0,51,1409,0,0
1785811949.453403,635,17,6,16,0,51,2178,0,0
1785811949.453403,635,18,0,16,0,51,2178,0,0
1785811949.453403,635,19,7,16,26,25,1057,0,0
1785811949.457626,636,7,5,11,5,46,1121,0,0
1785811949.457626,636,8,3,11,8,43,1057,0,0
1785811949.457626,636,9,4,11,0,51,1249,0,0
1785811949.461561,636,17,7,15,1,50,1985,0,0
1785811949.461561,636,18,0,15,0,51,2017,0,0
1785811949.465506,636,19,6,15,26,25,992,0,0
1785811949.469329,637,7,4,11,0,51,1249,0,0
1785811949.469329,637,8,3,11,0,51,1249,0,0
1785811949.469329,637,9,5,11,0,51,1249,0,0
1785811949.473395,637,17,6,15,1,50,1985,0,0
1785811949.473395,637,18,0,15,0,51,2017,0,0
1785811949.473395,637,19,7,15,26,25,992,0,0
1785811949.477627,638,7,5,12,5,46,1281,0,0
1785811949.477627,638,8,3,12,8,43,1185,0,0
1785811949.477627,638,9,4,12,0,51,1409,0,0
1785811949.481561,638,17,7,14,0,51,1825,0,0
1785811949.481561,638,18,0,14,0,51,1825,0,0
1785811949.485498,638,19,6,14,26,25,896,0,0
1785811949.489330,639,7,4,11,1,50,1217,0,0
1785811949.489330,639,8,3,11,0,51,1249,0,0
1785811949.489330,639,9,5,11,0,51,1249,0,0
1785811949.493402,639,17,6,15,0,51,2017,0,0
1785811949.493402,639,18,0,15,0,51,2017,0,0
1785811949.493402,639,19,7,15,26,25,992,0,0
1785811949.497626,640,7,5,12,5,46,1281,0,0
1785811949.497626,640,8,3,12,8,43,1185,0,0
1785811949.497626,640,9,4,12,0,51,1409,0,0
1785811949.501561,640,17,7,16,1,50,2112,0,0
1785811949.501561,640,18,0,16,0,51,2178,0,0
1785811949.505506,640,19,6,16,26,25,1057,0,0
1785811949.509329,641,7,4,11,0,51,1249,0,0
1785811949.509329,641,8,3,11,0,51,1249,0,0
1785811949.509329,641,9,5,11,0,51,1249,0,0
1785811949.513394,641,17,6,16,1,50,2112,0,0
1785811949.513394,641,18,0,16,0,51,2178,0,0
1785811949.513394,641,19,7,16,26,25,1057,0,0
1785811949.517627,642,7,5,12,5,46,1281,0,0
1785811949.517627,642,8,3,12,8,43,1185,0,0
1785811949.517627,642,9,4,12,0,51,1409,0,0
