# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
DEQ,1018741208541944,24,84,136617,0
STATS,1018741709696095,0,0,1,1,0,0,0
DEQ,1018742210455643,24,84,139444,0
STATS,1018742711713594,0,0,2,2,0,0,0
DEQ,1018743212123502,24,84,25075,0
STATS,1018743713375312,0,0,3,3,0,0,0
DEQ,1018744214271232,24,84,138585,0
STATS,1018744715495395,0,0,4,4,0,0,0
DEQ,1018745215598317,24,84,144897,0
DEQ,1018745528358506,24,60,21683,0
DEQ,1018745556908131,24,52,16775,0
DEQ,1018745556953308,24,89,34167,0
DEQ,1018745579900941,24,52,19375,0
DEQ,1018745579940422,24,56,25710,1
DEQ,1018745579940947,24,178,18160,0
DEQ,1018745619919992,24,60,20396,0
DEQ,1018745636847698,24,52,16966,0
DEQ,1018745636888141,24,89,33908,0
DEQ,1018745660142600,24,52,19740,0
DEQ,1018745661909459,24,52,22571,1
DEQ,1018745661949689,24,52,51016,0
DEQ,1018745662168063,24,1400,99766,3
DEQ,1018745662170777,24,1400,89101,2
DEQ,1018745662254735,24,1400,165701,3
DEQ,1018745662257469,24,1400,165844,2
DEQ,1018745662274265,24,1400,98454,3
DEQ,1018745662318867,24,1400,133648,4
DEQ,1018745662359703,24,1400,97555,3
DEQ,1018745662399337,24,1400,133049,2
DEQ,1018745662449533,24,1400,173588,1
DEQ,1018745662496855,24,1400,218912,0
DEQ,1018745700278592,24,1400,164328,0
STATS,1018745800549347,0,0,28,28,0,0,0
DEQ,1018745836852377,24,1400,101750,0
DEQ,1018745841979232,24,1400,98423,1
DEQ,1018745841981974,24,1400,91962,0
DEQ,1018745849995680,24,1400,100208,1
DEQ,1018745850091868,24,1400,185708,0
DEQ,1018745856018990,24,1400,122970,3
DEQ,1018745856021665,24,1400,117125,2
DEQ,1018745856022174,24,1400,112112,1
DEQ,1018745856107545,24,1400,195147,4
DEQ,1018745856108517,24,1400,78472,3
DEQ,1018745856219099,24,1400,180234,4
DEQ,1018745856221865,24,1400,168200,3
DEQ,1018745856238113,24,1400,182144,4
DEQ,1018745856326191,24,1400,211899,3
DEQ,1018745856329086,24,1400,205764,2
DEQ,1018745856418979,24,1400,192318,3
DEQ,1018745856421901,24,1400,191200,2
DEQ,1018745856445924,24,1400,111934,3
DEQ,1018745856572181,24,1400,233924,4
DEQ,1018745856575091,24,1400,148317,3
DEQ,1018745856591703,24,1400,161075,4
DEQ,1018745856668716,24,1400,220589,3
DEQ,1018745856671399,24,1400,221015,2
DEQ,1018745856679202,24,1400,95617,1
DEQ,1018745856759999,24,1400,172433,0
DEQ,1018745861970084,24,1400,89066,3
DEQ,1018745861973972,24,1400,83868,2
DEQ,1018745862071418,24,1400,175959,1
DEQ,1018745862074614,24,1400,176973,0
DEQ,1018745880025011,24,1400,104115,1
DEQ,1018745880027734,24,1400,96476,0
DEQ,1018745921848138,24,1400,89201,3
DEQ,1018745921850838,24,1400,82390,2
DEQ,1018745921937707,24,1400,165509,3
DEQ,1018745921938552,24,1400,164269,2
DEQ,1018745922027887,24,1400,172284,3
DEQ,1018745922030565,24,1400,171123,2
DEQ,1018745922112585,24,1400,169148,1
DEQ,1018745922115285,24,1400,167922,0
DEQ,1018745926006116,24,1400,112573,3
DEQ,1018745926008800,24,1400,106664,2
DEQ,1018745926009299,24,1400,103499,1
DEQ,1018745926111615,24,1400,203700,4
DEQ,1018745926112655,24,1400,98327,3
DEQ,1018745926139201,24,1400,120898,4
DEQ,1018745926220759,24,1400,197828,3
DEQ,1018745926223441,24,1400,198522,2
DEQ,1018745926299965,24,1400,181577,3
DEQ,1018745926303010,24,1400,174984,2
DEQ,1018745926385118,24,1400,156963,3
DEQ,1018745926387803,24,1400,155787,2
DEQ,1018745926461622,24,1400,154020,3
DEQ,1018745926464330,24,1400,152799,2
DEQ,1018745926555129,24,1400,162784,3
DEQ,1018745926557883,24,1400,161758,2
DEQ,1018745926638423,24,1400,169263,3
DEQ,1018745926641178,24,1400,162189,2
DEQ,1018745926657460,24,1400,94652,3
DEQ,1018745926728935,24,1400,162323,4
DEQ,1018745926731751,24,1400,82365,3
DEQ,1018745926810993,24,1400,157802,4
DEQ,1018745926813765,24,1400,153752,3
DEQ,1018745926890830,24,1400,228778,4
DEQ,1018745926893620,24,1400,156916,3
DEQ,1018745926964387,24,1400,223928,2
DEQ,1018745926967488,24,1400,149065,1
DEQ,1018745927050010,24,1400,227784,0
DEQ,1018745931810980,24,1400,41579,3
DEQ,1018745931850417,24,1400,73603,2
DEQ,1018745931890426,24,1400,109106,1
DEQ,1018745931931887,24,1400,148248,0
DEQ,1018745941801548,24,1400,43499,1
DEQ,1018745941846822,24,1400,79725,0
DEQ,1018745945985206,24,1400,93534,3
DEQ,1018745945987858,24,1400,88133,2
DEQ,1018745946009531,24,1400,104233,3
DEQ,1018745946118300,24,1400,210630,2
DEQ,1018745946119155,24,1400,126456,1
DEQ,1018745946181693,24,1400,176314,0
DEQ,1018745951931925,24,1400,44793,2
DEQ,1018745951969876,24,1400,73551,2
DEQ,1018745952009991,24,1400,106651,1
DEQ,1018745952134761,24,1400,198684,0
