# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
DEQ,1018634304320478,24,84,131421,0
STATS,1018634404570625,0,0,1,1,0,0,0
DEQ,1018635306246834,24,84,22841,0
STATS,1018635406490109,0,0,2,2,0,0,0
DEQ,1018636308268369,24,84,135755,0
STATS,1018636408523259,0,0,3,3,0,0,0
DEQ,1018637310202995,24,84,137950,0
STATS,1018637410454663,0,0,4,4,0,0,0
DEQ,1018638179009296,24,60,56577,0
DEQ,1018638245676757,24,52,17996,0
DEQ,1018638245849198,24,89,63815,0
DEQ,1018638280337293,24,52,23203,0
DEQ,1018638280492132,24,56,56194,1
DEQ,1018638280496127,24,215,49162,0
DEQ,1018638300478624,24,32,55823,0
DEQ,1018638312094805,24,84,132073,0
DEQ,1018638332326398,24,52,21446,0
DEQ,1018638332567627,24,1376,91785,0
DEQ,1018638333127569,24,1376,147389,0
DEQ,1018638333644783,24,1376,146550,0
DEQ,1018638334172426,24,1376,146144,0
DEQ,1018638334714382,24,1376,139975,0
DEQ,1018638335189534,24,1376,94616,0
DEQ,1018638335788157,24,1376,136838,0
DEQ,1018638336249608,24,1376,76974,0
DEQ,1018638336872251,24,1376,142286,0
DEQ,1018638337416027,24,1376,147330,0
DEQ,1018638337867622,24,1376,57615,0
DEQ,1018638338497587,24,1376,150523,0
DEQ,1018638338945851,24,1376,58180,0
DEQ,1018638339568112,24,1376,142588,0
DEQ,1018638340120774,24,1376,155462,0
DEQ,1018638340642873,24,1376,138547,0
DEQ,1018638341163228,24,1376,139616,0
DEQ,1018638341734484,24,1376,151107,0
DEQ,1018638342244964,24,1376,140927,0
DEQ,1018638342801233,24,1376,139950,0
DEQ,1018638343308068,24,1376,125744,0
DEQ,1018638343797456,24,1376,57177,0
DEQ,1018638344331150,24,1376,54327,0
DEQ,1018638344876685,24,1376,56875,0
DEQ,1018638345497628,24,1376,141634,0
DEQ,1018638345955704,24,1376,58263,0
DEQ,1018638346575388,24,1376,139900,0
DEQ,1018638347039789,24,1376,63364,0
DEQ,1018638347657424,24,1376,144190,0
DEQ,1018638348120338,24,1376,87715,0
DEQ,1018638348737265,24,1376,145724,0
DEQ,1018638349254804,24,1376,141387,0
DEQ,1018638349730384,24,1376,59456,0
DEQ,1018638350271162,24,1376,79225,0
DEQ,1018638350808119,24,1376,58531,0
DEQ,1018638351407177,24,1376,136527,0
DEQ,1018638351979585,24,1376,152378,0
DEQ,1018638352507368,24,1376,141399,0
DEQ,1018638353047705,24,1376,141227,0
DEQ,1018638353598614,24,1376,154315,0
DEQ,1018638354148890,24,1376,165042,0
DEQ,1018638354668031,24,1376,143360,0
DEQ,1018638355076417,24,1376,50113,0
DEQ,1018638355829218,24,1376,99433,0
DEQ,1018638356244014,24,1376,120161,0
DEQ,1018638356817544,24,1376,136924,0
DEQ,1018638357279507,24,1376,77922,0
DEQ,1018638357894743,24,1376,135384,0
DEQ,1018638358409020,24,1376,128617,0
DEQ,1018638358988227,24,1376,150468,0
DEQ,1018638359516476,24,1376,140405,0
DEQ,1018638359976141,24,1376,58813,0
DEQ,1018638360525472,24,1376,70049,0
DEQ,1018638361047439,24,1376,52808,0
DEQ,1018638361668240,24,1376,135212,0
DEQ,1018638362122490,24,1376,96255,0
DEQ,1018638362748258,24,1376,136908,0
DEQ,1018638363256733,24,1376,123825,0
DEQ,1018638363827992,24,1376,140031,0
DEQ,1018638364338292,24,1376,127152,0
DEQ,1018638364901378,24,1376,134001,0
DEQ,1018638365443288,24,1376,136383,0
DEQ,1018638366003539,24,1376,157475,0
DEQ,1018638366532556,24,1376,146310,0
DEQ,1018638366984398,24,1376,59059,0
DEQ,1018638367531820,24,1376,66912,0
DEQ,1018638368129146,24,1376,112732,0
DEQ,1018638368685891,24,1376,142144,0
DEQ,1018638369190813,24,1376,125995,0
DEQ,1018638369756522,24,1376,135398,0
DEQ,1018638370271165,24,1376,128667,0
DEQ,1018638370841414,24,1376,142295,0
DEQ,1018638371321209,24,1376,99812,0
DEQ,1018638371918167,24,1376,140500,0
DEQ,1018638372453743,24,1376,136975,0
DEQ,1018638372919284,24,1376,62578,0
DEQ,1018638373534645,24,1376,140551,0
DEQ,1018638374073354,24,1376,138349,0
DEQ,1018638374623064,24,1376,149863,0
DEQ,1018638375175649,24,1376,154985,0
DEQ,1018638375695339,24,1376,142867,0
DEQ,1018638376199590,24,1376,125753,0
DEQ,1018638376774726,24,1376,143779,0
DEQ,1018638377191053,24,1376,39282,0
DEQ,1018638377781457,24,1376,71760,0
DEQ,1018638378386729,24,1376,139439,0
DEQ,1018638378924118,24,1376,136642,0
DEQ,1018638379068708,24,52,66070,0
DEQ,1018638379481672,24,1376,154824,0
DEQ,1018638379998920,24,1376,132775,0
DEQ,1018638380546912,24,1376,142356,0
DEQ,1018638381021982,24,1376,76553,0
DEQ,1018638381626636,24,1376,143445,0
DEQ,1018638382117024,24,1376,91600,0
DEQ,1018638382699952,24,1376,139119,0
DEQ,1018638383162741,24,1376,79721,0
DEQ,1018638383698125,24,1376,57671,0
DEQ,1018638384239497,24,1376,77551,0
DEQ,1018638384793594,24,1376,74466,0
DEQ,1018638385378069,24,1376,138600,0
DEQ,1018638385933696,24,1376,137122,0
DEQ,1018638386487956,24,1376,151550,0
DEQ,1018638387014958,24,1376,140021,0
DEQ,1018638387554188,24,1376,139913,0
DEQ,1018638388084666,24,1376,130979,0
DEQ,1018638388641707,24,1376,147983,0
DEQ,1018638389075681,24,1376,49795,0
DEQ,1018638389703694,24,1376,132495,0
DEQ,1018638390227466,24,1376,134648,0
DEQ,1018638390788280,24,1376,138815,0
DEQ,1018638391298284,24,1376,127607,0
DEQ,1018638391870499,24,1376,142726,0
DEQ,1018638392375488,24,1376,126769,0
DEQ,1018638392939936,24,1376,134388,0
DEQ,1018638393497820,24,1376,152238,0
DEQ,1018638393944228,24,1376,58419,0
DEQ,1018638394566836,24,1376,142798,0
DEQ,1018638395041171,24,1376,76623,0
DEQ,1018638395646557,24,1376,144174,0
DEQ,1018638396122488,24,1376,89067,0
DEQ,1018638396731448,24,1376,150367,0
DEQ,1018638397192099,24,1376,89262,0
DEQ,1018638397796848,24,1376,137980,0
DEQ,1018638398307442,24,1376,127199,0
DEQ,1018638398874733,24,1376,137320,0
DEQ,1018638399416583,24,1376,139854,0
DEQ,1018638399951030,24,1376,135652,0
DEQ,1018638400485687,24,1376,146892,0
DEQ,1018638401037490,24,1376,142383,0
DEQ,1018638401574768,24,1376,141056,0
DEQ,1018638402038916,24,1376,65202,0
DEQ,1018638402570483,24,1376,56949,0
DEQ,1018638403122080,24,1376,96124,0
DEQ,1018638403745509,24,1376,154743,0
DEQ,1018638404197847,24,1376,86729,0
DEQ,1018638404806887,24,1376,138316,0
DEQ,1018638405322827,24,1376,132297,0
DEQ,1018638406003803,24,1376,152048,0
DEQ,1018638406397795,24,1376,128483,0
DEQ,1018638406902199,24,1376,74423,0
DEQ,1018638407501641,24,1376,136310,0
DEQ,1018638408038729,24,1376,134268,0
DEQ,1018638408586782,24,1376,143109,0
DEQ,1018638409123029,24,1376,140733,0
DEQ,1018638409672099,24,1376,149621,0
DEQ,1018638410163222,24,1376,139572,0
DEQ,1018638410746650,24,1376,146177,0
STATS,1018638410766259,0,0,160,160,0,0,0
DEQ,1018638411247821,24,1376,126573,0
DEQ,1018638411738130,24,1376,58464,0
DEQ,1018638412239106,24,1376,39736,0
DEQ,1018638412814119,24,1376,56279,0
DEQ,1018638413411931,24,1376,133728,0
DEQ,1018638413983021,24,1376,147302,0
DEQ,1018638414513931,24,1376,139629,0
DEQ,1018638414972661,24,1376,57291,0
DEQ,1018638415607826,24,1376,155309,0
DEQ,1018638416046268,24,1376,53751,0
DEQ,1018638416669634,24,1376,136392,0
DEQ,1018638417117022,24,1376,91444,0
DEQ,1018638417673615,24,1376,63479,0
DEQ,1018638418208353,24,1376,77249,0
DEQ,1018638418823381,24,1376,135953,0
DEQ,1018638419287173,24,1376,78437,0
DEQ,1018638419898956,24,1376,132852,0
DEQ,1018638420441316,24,1376,137418,0
DEQ,1018638420989099,24,1376,143784,0
DEQ,1018638421521364,24,1376,137412,0
DEQ,1018638421983299,24,1376,59561,0
DEQ,1018638422614533,24,1376,150635,0
DEQ,1018638423149798,24,1376,137540,0
DEQ,1018638423674145,24,1376,133502,0
DEQ,1018638424194727,24,1376,130002,0
DEQ,1018638424677392,24,1376,57645,0
DEQ,1018638425217911,24,1376,77278,0
DEQ,1018638425832211,24,1376,135199,0
DEQ,1018638426376681,24,1376,140338,0
DEQ,1018638426912665,24,1376,137572,0
DEQ,1018638427447294,24,1376,132249,0
DEQ,1018638427997244,24,1376,143151,0
DEQ,1018638428528540,24,1376,135017,0
DEQ,1018638428995361,24,1376,60796,0
DEQ,1018638429619088,24,1376,146450,0
