seq,size,send_ts_ns,recv_ts_ns,rtt_ms
0,1000,1785811814050836615,1785811814086334929,35.493879
1,1000,1785811814151029787,1785811814206305880,55.273643
2,1000,1785811814251015750,1785811814286310946,35.292797
3,1000,1785811814351030164,1785811814406355173,55.322526
4,1000,1785811814451017035,1785811814486398820,35.379444
5,1000,1785811814551030619,1785811814585938434,34.905342
6,1000,1785811814651030143,1785811814695979391,44.946771
7,1000,1785811814751024021,1785811814786019803,34.993349
8,1000,1785811814851025256,1785811814886057908,35.030416
9,1000,1785811814951028595,1785811814986105510,35.074479
10,1000,1785811815051031625,1785811815086167072,35.133110
11,1000,1785811815151031291,1785811815186188486,35.154826
12,1000,1785811815251025865,1785811815286228240,35.199942
13,1000,1785811815351033493,1785811815396278509,45.242540
14,1000,1785811815451018078,1785811815496314122,45.293595
15,1000,1785811815551012583,1785811815586356231,35.341576
16,1000,1785811815651020084,1785811815686390923,35.368729
17,1000,1785811815751027214,1785811815785930457,34.901180
18,1000,1785811815851021181,1785811815895974485,44.951204
19,1000,1785811815951011911,1785811815986014145,35.000131
20,1000,1785811816051019370,1785811816085923462,34.902010
21,1000,1785811816151020115,1785811816186109607,35.087331
22,1000,1785811816251027401,1785811816286152860,35.122989
23,1000,1785811816351028258,1785811816396193271,45.162612
24,1000,1785811816451018873,1785811816486203264,35.181965
25,1000,1785811816551029371,1785811816586250589,35.218752
26,1000,1785811816651029640,1785811816686326395,35.294361
27,1000,1785811816751029078,1785811816786363677,35.332104
28,1000,1785811816851027910,1785811816896382213,45.351814
29,1000,1785811816951019914,1785811816985931713,34.909382
30,1000,1785811817051025744,1785811817105992051,54.963819
31,1000,1785811817151014925,1785811817196008978,44.991726
32,1000,1785811817251020330,1785811817296067963,45.045140
33,1000,1785811817351016930,1785811817396100254,45.080854
34,1000,1785811817451020465,1785811817496111642,45.088827
35,1000,1785811817551021497,1785811817586191547,35.167577
36,1000,1785811817651027528,1785811817696217815,45.188039
37,1000,1785811817751019298,1785811817796255228,45.233573
38,1000,1785811817851020110,1785811817896332875,45.310341
39,1000,1785811817951017754,1785811817996336272,45.316118
40,1000,1785811818051018843,1785811818086355491,35.334149
41,1000,1785811818151029667,1785811818205930815,54.898814
42,1000,1785811818251011250,1785811818295966852,44.953187
43,1000,1785811818351018785,1785811818386014242,34.993056
44,1000,1785811818451028386,1785811818496062287,45.031731
45,1000,1785811818551022604,1785811818596084794,45.059752
46,1000,1785811818651018256,1785811818696129406,45.108760
47,1000,1785811818751016793,1785811818796189792,45.170625
48,1000,1785811818851019762,1785811818896218978,45.196892
49,1000,1785811818951017435,1785811818996251246,45.231451
50,1000,1785811819051022420,1785811819116312757,65.288261
51,1000,1785811819151017124,1785811819186342834,35.323383
52,1000,1785811819251027226,1785811819286381079,35.351419
53,1000,1785811819351032123,1785811819395942655,44.908073
54,1000,1785811819451022990,1785811819485965840,34.940466
55,1000,1785811819551029860,1785811819596023951,44.991719
56,1000,1785811819651011816,1785811819686047325,35.033442
57,1000,1785811819751022861,1785811819796085606,45.060743
58,1000,1785811819851011705,1785811819886134710,35.120998
59,1000,1785811819951021810,1785811819986176928,35.152994
60,1000,1785811820051020916,1785811820086218201,35.195148
61,1000,1785811820151020532,1785811820202149710,51.127176
62,1000,1785811820251005467,1785811820286299867,35.292285
63,1000,1785811820351020314,1785811820386319820,35.297449
64,1000,1785811820451028118,1785811820486361475,35.330951
65,1000,1785811820551026481,1785811820585905676,34.876808
