seq,size,send_ts_ns,recv_ts_ns,rtt_ms
0,1000,1785811839098567638,1785811839241098727,142.526822
1,1000,1785811839198794205,1785811839347103826,148.307174
2,1000,1785811839298748871,1785811839443094210,144.342955
3,1000,1785811839398750598,1785811839555075095,156.322303
4,1000,1785811839498752273,1785811839659729978,160.975402
5,1000,1785811839598752916,1785811839765096510,166.341235
6,1000,1785811839698744409,1785811839861083932,162.337231
7,1000,1785811839798746193,1785811839997103538,198.355004
8,1000,1785811839898746666,1785811793440688635,198.285093
9,1000,1785811839998753067,1785811793536762469,194.352007
10,1000,1785811793442398167,1785811793646748371,204.348043
11,1000,1785811793542411087,1785811840432294708,232.321322
12,1000,1785811793642451612,1785811840534289131,234.275533
13,1000,1785811840400011416,1785811840612298892,212.284124
14,1000,1785811840499983747,1785811840706292791,206.306856
15,1000,1785811840599971137,1785811840828292183,228.318843
16,1000,1785811840699989368,1785811840924306504,224.314918
17,1000,1785811840799996729,1785811841010298645,210.299941
18,1000,1785811840899977087,1785811841112295468,212.316423
19,1000,1785811840999977353,1785811841206301175,206.321467
20,1000,1785811841099991115,1785811841314294309,214.301203
21,1000,1785811841200003121,1785811841436295639,236.290508
22,1000,1785811841300003938,1785811841532311927,232.305570
23,1000,1785811841399992761,1785811841640310988,240.315879
24,1000,1785811841499974042,1785811841748899012,248.922747
25,1000,1785811841599978487,1785811841844279458,244.298688
26,1000,1785811841699974007,1785811841948306277,248.329963
27,1000,1785811841799962285,1785811842044285251,244.320652
28,1000,1785811841899966481,1785811842154304617,254.335860
29,1000,1785811841999961362,1785811842262294505,262.330844
30,1000,1785811842099973929,1785811842382295882,282.319703
31,1000,1785811842199960648,1785811842492296601,292.333686
32,1000,1785811842299966616,1785811842612274850,312.305951
33,1000,1785811842399966453,1785811842702278045,302.309360
34,1000,1785811842499963741,1785811842818820834,318.854725
35,1000,1785811842600005619,1785811842914308725,314.300887
36,1000,1785811842700006350,1785811843056283225,356.274458
37,1000,1785811842800004054,1785811843146304516,346.298127
38,1000,1785811842899991211,1785811843252268426,352.275202
39,1000,1785811842999997107,1785811843340316438,340.316958
40,1000,1785811843099955659,1785811843432303347,332.345319
41,1000,1785811843199963946,1785811843524259421,324.293104
42,1000,1785811843299958126,1785811843632297729,332.337313
43,1000,1785811843399976252,1785811843744208615,344.229973
44,1000,1785811843499974963,1785811843852268214,352.291055
45,1000,1785811843599986607,1785811843952272128,352.283076
46,1000,1785811843699979678,1785811844064296747,364.314339
47,1000,1785811843799965333,1785811844152298861,352.331160
48,1000,1785811843899960841,1785811844248293300,348.330088
49,1000,1785811843999960870,1785811844358277812,358.314671
50,1000,1785811844099961895,1785811844454272786,354.308565
51,1000,1785811844199960658,1785811844564291688,364.328629
52,1000,1785811844299960884,1785811844664266861,364.303626
53,1000,1785811844399959198,1785811844784275560,384.314253
54,1000,1785811844499958239,1785811844890911606,390.951014
55,1000,1785811844599970036,1785811844992265566,392.293227
56,1000,1785811844699843363,1785811845106282344,406.436777
57,1000,1785811844799955901,1785811845206266823,406.308592
58,1000,1785811844899965686,1785811845312271073,412.303113
59,1000,1785811844999955731,1785811845438824266,438.866391
60,1000,1785811845100012077,1785811845528266924,428.252583
61,1000,1785811845200005821,1785811845644269096,444.260899
62,1000,1785811845300008045,1785811845759014088,459.003727
63,1000,1785811845400004666,1785811845840905303,440.898255
64,1000,1785811845499974887,1785811845954279996,454.302787
65,1000,1785811845599982108,1785811846062266214,462.281752
66,1000,1785811845699962585,1785811846166268139,466.303204
67,1000,1785811845799956592,1785811846286278559,486.319639
68,1000,1785811845899971644,1785811846404265507,504.291309
