seq,size,send_ts_ns,recv_ts_ns,rtt_ms
0,1000,1785811890581350119,1785811844582949649,659.275297
1,1000,1785811890681561574,1785811844588376990,564.493464
3,1000,1785811890881543484,1785811891462019956,579.355197
5,1000,1785811891081546577,1785811891647200228,564.532685
7,1000,1785811844623748471,1785811891882178684,599.623743
9,1000,1785811891482555090,1785811892057298861,574.732919
11,1000,1785811891682545556,1785811892262407345,579.857146
12,1000,1785811891782571552,1785811892322413547,539.841397
13,1000,1785811891882519629,1785811892476726890,594.206648
14,1000,1785811891982642829,1785811892481322253,498.676987
15,1000,1785811892082618645,1785811892672578975,589.958292
16,1000,1785811892182662611,1785811892677294616,494.630017
18,1000,1785811892382641566,1785811892887189591,504.546159
20,1000,1785811892582668788,1785811893101724394,519.053706
22,1000,1785811892782670120,1785811893322330585,539.658570
24,1000,1785811892982660423,1785811893544980433,562.318102
26,1000,1785811893182684455,1785811893787043747,604.357378
28,1000,1785811893382619382,1785811893957122740,574.501399
30,1000,1785811893582616469,1785811894137273682,554.655306
32,1000,1785811893782667666,1785811894371824640,589.155072
34,1000,1785811893982614350,1785811894571848986,589.232734
36,1000,1785811894182626642,1785811894761721551,579.092743
38,1000,1785811894382625946,1785811894967076502,584.448297
40,1000,1785811894582630645,1785811895162123360,579.490579
42,1000,1785811894782641953,1785811895357167322,574.523524
44,1000,1785811894982639239,1785811895562776583,580.135471
46,1000,1785811895182640563,1785811895761833758,579.191319
48,1000,1785811895382633251,1785811895959912536,577.277402
50,1000,1785811895582644043,1785811896187086889,604.440958
51,1000,1785811895682686481,1785811896367083419,684.394977
52,1000,1785811895782616547,1785811896397612654,614.994153
53,1000,1785811895882691317,1785811896424624174,541.930614
54,1000,1785811895982617885,1785811896569688115,587.068291
55,1000,1785811896082660849,1785811896575288107,492.625252
56,1000,1785811896182670952,1785811896794807599,612.134752
57,1000,1785811896282659960,1785811896799297114,516.635200
59,1000,1785811896482644070,1785811896986871842,504.225907
61,1000,1785811896682663399,1785811897179958336,497.293009
63,1000,1785811896882653305,1785811897402603764,519.948556
65,1000,1785811897082664892,1785811897624621601,541.954698
67,1000,1785811897282697043,1785811897827185380,544.486443
69,1000,1785811897482647881,1785811898056787531,574.137757
71,1000,1785811897682619554,1785811898264864066,582.242613
73,1000,1785811897882626027,1785811898462422674,579.794815
75,1000,1785811898082650437,1785811898662077790,579.425476
