# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
DEQ,827912377233218,23,84,130213,0
STATS,827912878373545,0,0,1,1,0,0,0
DEQ,827913378128372,23,84,124881,0
STATS,827913879298527,0,0,2,2,0,0,0
DEQ,827914379045505,23,84,142669,0
STATS,827914880155981,0,0,3,3,0,0,0
DEQ,827915379988105,23,84,139677,0
STATS,827915881139852,0,0,4,4,0,0,0
DEQ,827916380853321,23,84,132693,0
STATS,827916881975169,0,0,5,5,0,0,0
DEQ,827917381771798,23,84,134637,0
DEQ,827917707260507,23,1028,53048,1
DEQ,827917707294310,23,1028,70755,0
DEQ,827917708185985,23,1028,109247,1
DEQ,827917708190024,23,1028,91671,0
DEQ,827917709134868,23,1028,107196,1
DEQ,827917709139938,23,1028,73163,0
DEQ,827917709997558,23,1028,41453,0
DEQ,827917710118747,23,1028,75600,0
DEQ,827917710918504,23,1028,35247,0
DEQ,827917711065333,23,1028,46763,0
DEQ,827917711832415,23,1028,43107,0
DEQ,827917712036835,23,1028,43804,0
DEQ,827917712747518,23,1028,54835,0
DEQ,827917712999485,23,1028,35885,0
DEQ,827917713640433,23,1028,42408,0
DEQ,827917714011938,23,1028,67201,0
DEQ,827917714545419,23,1028,41148,0
DEQ,827917715012017,23,1028,60347,0
DEQ,827917715508826,23,1028,100013,0
DEQ,827917715997962,23,1028,54739,0
DEQ,827917716378869,23,1028,87062,0
DEQ,827917716979144,23,1028,46699,0
DEQ,827917717247988,23,1028,77332,0
DEQ,827917717899170,23,1028,45208,0
DEQ,827917718056641,23,1028,36380,0
DEQ,827917718805785,23,1028,56733,0
DEQ,827917718917719,23,1028,33823,0
DEQ,827917719707545,23,1028,51838,0
DEQ,827917719776249,23,1028,32787,0
DEQ,827917720618951,23,1028,58363,0
DEQ,827917720685912,23,1028,45601,0
DEQ,827917721519312,23,1028,53486,0
DEQ,827917721579980,23,1028,32557,0
DEQ,827917722403881,23,1028,49884,0
DEQ,827917722496725,23,1028,45521,0
DEQ,827917723287128,23,1028,54038,0
DEQ,827917723373229,23,1028,62736,0
DEQ,827917724195929,23,1028,44502,1
DEQ,827917724246278,23,1028,78484,0
DEQ,827917725071297,23,1028,34835,1
DEQ,827917725110637,23,1028,54338,0
DEQ,827917725990834,23,1028,56500,1
DEQ,827917726027078,23,1028,45150,0
DEQ,827917726897428,23,1028,59366,0
DEQ,827917727005629,23,1028,36978,0
DEQ,827917727783411,23,1028,42027,0
DEQ,827917727901306,23,1028,33802,0
DEQ,827917728687292,23,1028,41916,0
DEQ,827917728793303,23,1028,34110,0
DEQ,827917729591864,23,1028,42973,0
DEQ,827917729683203,23,1028,35752,0
DEQ,827917730497686,23,1028,44944,0
DEQ,827917730575678,23,1028,39436,0
DEQ,827917731398752,23,1028,41590,0
DEQ,827917731482716,23,1028,53174,0
DEQ,827917732263066,23,1028,33395,0
DEQ,827917732359166,23,1028,53318,0
DEQ,827917733123550,23,1028,33952,0
DEQ,827917733219138,23,1028,36011,0
DEQ,827917734020927,23,1028,41255,0
DEQ,827917734150855,23,1028,36324,0
DEQ,827917734940317,23,1028,42006,0
DEQ,827917735139834,23,1028,47210,0
DEQ,827917735843383,23,1028,41054,0
DEQ,827917736123340,23,1028,38296,0
DEQ,827917736750260,23,1028,43393,0
DEQ,827917737103467,23,1028,49399,0
DEQ,827917737650512,23,1028,40691,0
DEQ,827917738091515,23,1028,35379,0
DEQ,827917738555133,23,1028,41841,0
DEQ,827917739077232,23,1028,36155,0
DEQ,827917739457931,23,1028,41127,0
DEQ,827917740078692,23,1028,51176,0
DEQ,827917740324338,23,1028,33837,0
DEQ,827917741054442,23,1028,37456,0
DEQ,827917741186156,23,1028,33822,0
DEQ,827917742048552,23,1028,36359,1
DEQ,827917742094875,23,1028,58133,0
DEQ,827917742966793,23,1028,41288,0
DEQ,827917743019072,23,1028,36225,0
DEQ,827917743884295,23,1028,41167,0
DEQ,827917744009857,23,1028,36278,0
DEQ,827917744787071,23,1028,41508,0
DEQ,827917744996812,23,1028,51766,0
DEQ,827917745691052,23,1028,40736,0
DEQ,827917745879263,23,1028,33613,0
DEQ,827917746595687,23,1028,41093,0
DEQ,827917746771776,23,1028,34030,0
DEQ,827917747500032,23,1028,41714,0
DEQ,827917747663550,23,1028,36713,0
DEQ,827917748412314,23,1028,44889,0
DEQ,827917748557358,23,1028,39803,0
DEQ,827917749272206,23,1028,32695,0
DEQ,827917749447379,23,1028,37361,0
DEQ,827917750131988,23,1028,33179,0
DEQ,827917750323143,23,1028,35540,0
DEQ,827917751028446,23,1028,40909,0
DEQ,827917751204029,23,1028,36253,0
DEQ,827917751943345,23,1028,40504,0
DEQ,827917752142640,23,1028,36204,0
DEQ,827917752871797,23,1028,55633,0
DEQ,827917753123065,23,1028,50295,0
DEQ,827917753762146,23,1028,42195,0
DEQ,827917754102841,23,1028,45300,0
DEQ,827917754665302,23,1028,41627,0
DEQ,827917755113540,23,1028,53226,0
DEQ,827917755568288,23,1028,40848,0
DEQ,827917756084501,23,1028,36391,0
DEQ,827917756488422,23,1028,58092,0
DEQ,827917757073672,23,1028,35576,0
DEQ,827917757337444,23,1028,33212,0
DEQ,827917758063979,23,1028,37995,0
DEQ,827917758199242,23,1028,33764,0
DEQ,827917759049606,23,1028,36561,1
DEQ,827917759096186,23,1028,60314,0
DEQ,827917759968157,23,1028,40941,0
DEQ,827917760016012,23,1028,36229,0
DEQ,827917760875230,23,1028,44134,0
DEQ,827917760997584,23,1028,40785,0
DEQ,827917761787393,23,1028,41821,0
DEQ,827917761965872,23,1028,35961,0
