ts_mono_s,tb_new_bytes,tb_retx_bytes,num_new_tb,num_retx_tb
785783.863036,59363932,3422157,56208,3102
785783.863070,59363932,3422157,56208,3102
785783.863090,59363932,3422157,56208,3102
785783.863108,59363932,3422157,56208,3102
785783.863136,59363932,3422157,56208,3102
785783.863154,59363932,3422157,56208,3102
785783.863167,59363932,3422157,56208,3102
785783.863179,59363932,3422157,56208,3102
785783.863200,59363932,3422157,56208,3102
785783.863213,59363932,3422157,56208,3102
785783.863228,59363932,3422157,56208,3102
785783.863240,59363932,3422157,56208,3102
785783.863263,59363932,3422157,56208,3102
785783.863275,59363932,3422157,56208,3102
785783.863287,59363932,3422157,56208,3102
785783.863299,59363932,3422157,56208,3102
785783.863320,59363932,3422157,56208,3102
785783.863332,59363932,3422157,56208,3102
785783.863344,59363932,3422157,56208,3102
785783.863356,59364476,3422157,56209,3102
785783.863378,59364476,3422157,56209,3102
785783.863390,59364476,3422157,56209,3102
785783.863402,59364476,3422157,56209,3102
785783.863414,59364476,3422157,56209,3102
785783.863436,59364476,3422157,56209,3102
785783.863448,59364476,3422157,56209,3102
785783.863461,59364476,3422157,56209,3102
785783.863473,59364476,3422157,56209,3102
785783.863495,59364476,3422157,56209,3102
785783.863507,59364476,3422157,56209,3102
785783.863519,59364476,3422157,56209,3102
785783.863531,59364476,3422157,56209,3102
785783.863553,59364476,3422157,56209,3102
785783.863565,59364476,3422157,56209,3102
785783.863577,59364476,3422157,56209,3102
785783.863590,59364476,3422157,56209,3102
785783.863612,59364476,3422157,56209,3102
785783.863624,59364476,3422157,56209,3102
785783.863637,59364476,3422157,56209,3102
785783.863650,59364476,3422157,56209,3102
785783.863672,59364476,3422157,56209,3102
785783.863685,59364476,3422157,56209,3102
785783.863697,59364476,3422157,56209,3102
785783.863709,59364476,3422157,56209,3102
785783.863732,59364476,3422157,56209,3102
785783.863744,59364476,3422157,56209,3102
785783.863756,59364476,3422157,56209,3102
785783.863769,59364476,3422157,56209,3102
785783.863791,59364476,3422157,56209,3102
785783.863802,59364476,3422157,56209,3102
785783.863815,59364476,3422157,56209,3102
785783.863828,59365020,3422157,56210,3102
785783.863850,59365020,3422157,56210,3102
785783.863862,59365020,3422157,56210,3102
785783.863874,59365020,3422157,56210,3102
785783.863887,59365020,3422157,56210,3102
785783.863909,59365020,3422157,56210,3102
785783.863921,59365020,3422157,56210,3102
785783.863933,59365020,3422157,56210,3102
785783.863945,59365020,3422157,56210,3102
785783.863968,59365020,3422157,56210,3102
785783.863982,59365020,3422157,56210,3102
785783.863995,59365020,3422157,56210,3102
785783.864009,59365020,3422157,56210,3102
785783.864033,59365020,3422157,56210,3102
785783.864048,59365020,3422157,56210,3102
785783.864062,59365020,3422157,56210,3102
785783.864077,59365020,3422157,56210,3102
785783.864102,59365020,3422157,56210,3102
785783.864118,59365020,3422157,56210,3102
785783.864132,59365020,3422157,56210,3102
785783.864146,59365020,3422157,56210,3102
785783.864170,59365020,3422157,56210,3102
785783.864182,59365020,3422157,56210,3102
785783.864195,59365020,3422157,56210,3102
785783.864206,59365020,3422157,56210,3102
785783.864228,59365020,3422157,56210,3102
785783.864240,59365020,3422157,56210,3102
785783.864252,59365020,3422157,56210,3102
785783.864264,59365020,3422157,56210,3102
785783.864287,59365020,3422157,56210,3102
785783.864299,59365020,3422157,56210,3102
785783.864311,59365020,3422157,56210,3102
785783.864323,59365020,3422157,56210,3102
