# type,ts_ns,ifindex,len,dwell_ns,inflight
# STATS,ts_ns,inflight_pkts,inflight_bytes,enq_total,deq_total,miss,insert_fail,rb_lost
DEQ,669032136622486,21,84,143105,0
STATS,669032938419868,0,0,1,1,0,0,0
DEQ,669033138531551,21,84,139685,0
STATS,669033940356546,0,0,2,2,0,0,0
DEQ,669034140439370,21,84,132912,0
STATS,669034942015092,0,0,3,3,0,0,0
DEQ,669035142332257,21,84,118680,0
STATS,669035944084067,0,0,4,4,0,0,0
DEQ,669036144233222,21,84,102044,0
STATS,669036946049103,0,0,5,5,0,0,0
DEQ,669037145278546,21,84,146001,0
STATS,669037947061788,0,0,6,6,0,0,0
DEQ,669038146584219,21,84,132949,0
STATS,669038948282352,0,0,7,7,0,0,0
DEQ,669039148447554,21,84,102244,0
DEQ,669039755326085,21,1028,27726,0
DEQ,669039756282047,21,1028,85464,0
DEQ,669039757095855,21,1028,17413,0
DEQ,669039758116118,21,1028,121569,0
DEQ,669039759031723,21,1028,111086,0
DEQ,669039759850863,21,1028,19134,0
DEQ,669039760757007,21,1028,28885,0
DEQ,669039761672850,21,1028,32148,0
DEQ,669039762818125,21,1028,276098,0
DEQ,669039763475733,21,1028,32754,0
DEQ,669039764719343,21,1028,358265,0
DEQ,669039765315953,21,1028,30593,0
DEQ,669039766187480,21,1028,15234,0
DEQ,669039767066278,21,1028,30356,0
DEQ,669039768056352,21,1028,118321,0
DEQ,669039768955611,21,1028,116147,0
DEQ,669039769773252,21,1028,32605,0
DEQ,669039770756333,21,1028,116322,0
DEQ,669039771573421,21,1028,32968,0
DEQ,669039772477069,21,1028,31790,0
DEQ,669039773376700,21,1028,30454,0
DEQ,669039774268623,21,1028,20924,0
DEQ,669039775129321,21,1028,18062,0
DEQ,669039776039694,21,1028,22823,0
DEQ,669039777031236,21,1028,116757,0
DEQ,669039777849387,21,1028,33740,0
DEQ,669039778745353,21,1028,29547,0
DEQ,669039779665330,21,1028,31335,0
DEQ,669039780566541,21,1028,32181,0
DEQ,669039781482155,21,1028,32899,0
DEQ,669039782530057,21,1028,193098,0
DEQ,669039783321204,21,1028,108543,0
DEQ,669039784092993,21,1028,18392,0
DEQ,669039785402982,21,1028,438335,0
DEQ,669039925349122,21,1028,7230117,92
DEQ,669039932359363,21,1028,14230706,91
DEQ,669039939340580,21,1028,21209366,90
DEQ,669039946347066,21,1028,28213182,89
DEQ,669039953345622,21,1028,35209010,88
STATS,669039953483165,88,90464,135,47,0,0,0
DEQ,669039960339072,21,1028,42199613,87
DEQ,669039967349681,21,1028,49207338,86
DEQ,669039974339533,21,1028,56194688,85
DEQ,669039981355748,21,1028,63208155,84
DEQ,669039988346531,21,1028,70196507,83
DEQ,669039995348581,21,1028,77195888,82
DEQ,669040002336506,21,1028,84181572,81
DEQ,669040009342746,21,1028,91184881,80
DEQ,669040016343348,21,1028,98182723,79
DEQ,669040023346253,21,1028,105182657,78
DEQ,669040030341832,21,1028,112175661,77
DEQ,669040037343290,21,1028,119173073,76
DEQ,669040044345063,21,1028,126172159,75
DEQ,669040051337037,21,1028,133160942,74
DEQ,669040058341777,21,1028,140163199,73
DEQ,669040065239425,21,1028,147058494,72
DEQ,669040072339710,21,1028,154156190,71
DEQ,669040079348659,21,1028,161162496,70
DEQ,669040086352078,21,1028,168163004,69
DEQ,669040093355347,21,1028,175163796,68
DEQ,669040100345302,21,1028,182151155,67
DEQ,669040107346187,21,1028,189149373,66
DEQ,669040114338022,21,1028,196138409,65
DEQ,669040121365028,21,1028,203162871,64
DEQ,669040128337700,21,1028,210133080,63
DEQ,669040135359553,21,1028,217152437,62
DEQ,669040142341805,21,1028,224131939,61
DEQ,669040149339520,21,1028,231127368,60
DEQ,669040156330900,21,1028,238116555,59
DEQ,669040163343822,21,1028,245126816,58
DEQ,669040170353476,21,1028,252134076,57
DEQ,669040177346291,21,1028,259124351,56
DEQ,669040184348466,21,1028,266124093,55
DEQ,669040191344669,21,1028,273117924,55
DEQ,669040198345903,21,1028,280116166,54
DEQ,669040205341424,21,1028,287109364,53
DEQ,669040212343483,21,1028,294108815,52
DEQ,669040219343742,21,1028,301106503,51
DEQ,669040226351680,21,1028,308112115,50
DEQ,669040233346020,21,1028,315104318,49
DEQ,669040240349556,21,1028,322105737,48
DEQ,669040247347386,21,1028,329101436,47
DEQ,669040254243327,21,1028,335995249,46
DEQ,669040261219454,21,1028,342968481,45
DEQ,669040268247509,21,1028,349994407,44
DEQ,669040275221695,21,1028,356966540,43
DEQ,669040282255989,21,1028,363998758,42
DEQ,669040289219272,21,1028,370959976,41
DEQ,669040296238722,21,1028,377977359,40
DEQ,669040303349648,21,1028,385086197,39
DEQ,669040310349298,21,1028,392083686,38
DEQ,669040317356378,21,1028,399088577,37
DEQ,669040324343308,21,1028,406073356,90
DEQ,669040331348915,21,1028,413076800,89
DEQ,669040338341767,21,1028,420067595,88
DEQ,669040345342984,21,1028,427066227,87
DEQ,669040352327567,21,1028,434048670,86
DEQ,669040359347522,21,1028,441066564,85
DEQ,669040366338269,21,1028,448055266,84
DEQ,669040373349897,21,1028,455064663,83
DEQ,669040380345565,21,1028,462058261,82
DEQ,669040387351608,21,1028,469062247,81
DEQ,669040394346800,21,1028,476055394,80
DEQ,669040401347988,21,1028,483054445,79
DEQ,669040408352161,21,1028,490056510,78
DEQ,669040415361530,21,1028,497063584,77
DEQ,669040422363490,21,1028,504063498,76
DEQ,669040429350893,21,1028,511048798,75
DEQ,669040436346846,21,1028,518042684,74
DEQ,669040443347203,21,1028,525040910,73
DEQ,669040450341745,21,1028,532033288,72
DEQ,669040457336587,21,1028,539026071,71
DEQ,669040464345076,21,1028,546032516,70
DEQ,669040471339741,21,1028,553025143,69
DEQ,669040478343524,21,1028,560026767,68
DEQ,669040485349626,21,1028,567029922,67
DEQ,669040492345135,21,1028,574022813,66
DEQ,669040499338905,21,1028,581014400,65
DEQ,669040506341778,21,1028,588015132,64
DEQ,669040513346333,21,1028,595017622,63
DEQ,669040520340111,21,1028,602009331,62
DEQ,669040527339753,21,1028,609006904,61
DEQ,669040534345984,21,1028,616011106,60
DEQ,669040541343825,21,1028,623006973,59
DEQ,669040548347086,21,1028,630008169,58
DEQ,669040555351280,21,1028,637010376,57
DEQ,669040562339422,21,1028,643996294,56
DEQ,669040569358946,21,1028,651013680,55
DEQ,669040576344837,21,84,386218957,54
DEQ,669040583359463,21,1028,265306605,53
DEQ,669040590349330,21,1028,272276833,52
DEQ,669040597344744,21,1028,279269463,51
DEQ,669040604337674,21,1028,286260007,50
DEQ,669040611348011,21,1028,293267753,49
DEQ,669040618341872,21,1028,300259016,48
DEQ,669040625350454,21,1028,307265213,47
DEQ,669040632335940,21,1028,314248096,46
DEQ,669040639245519,21,1028,321153637,45
DEQ,669040646221483,21,1028,328127245,44
DEQ,669040653254338,21,1028,335157593,43
DEQ,669040660292026,21,1028,342193202,42
DEQ,669040667252336,21,1028,349150903,41
DEQ,669040674270283,21,1028,356166407,40
DEQ,669040681249423,21,1028,363143392,39
DEQ,669040688346360,21,1028,370238077,38
DEQ,669040695346863,21,1028,377236073,37
DEQ,669040702354363,21,1028,384240771,36
DEQ,669040709347137,21,1028,391230364,35
DEQ,669040716343258,21,1028,398223676,34
DEQ,669040723344667,21,1028,405222454,87
DEQ,669040730350966,21,1028,412226557,86
DEQ,669040737342845,21,1028,419215858,85
DEQ,669040744336748,21,1028,426207327,84
DEQ,669040751342968,21,1028,433210912,83
DEQ,669040758350702,21,1028,440216100,82
DEQ,669040765345491,21,1028,447208380,81
DEQ,669040772337561,21,1028,454198184,80
DEQ,669040779349691,21,1028,461208111,79
DEQ,669040786346786,21,1028,468201976,78
DEQ,669040793343908,21,1028,475196408,77
DEQ,669040800340094,21,1028,482190088,76
DEQ,669040807343210,21,1028,489190563,75
DEQ,669040814341657,21,1028,496186561,74
DEQ,669040821341726,21,1028,503184159,73
DEQ,669040828337613,21,1028,510177582,72
DEQ,669040835342181,21,1028,517180055,71
DEQ,669040842344299,21,1028,524179731,70
DEQ,669040849344636,21,1028,531177702,69
DEQ,669040856337503,21,1028,538168235,68
DEQ,669040863341327,21,1028,545169743,67
DEQ,669040870349275,21,1028,552175068,66
DEQ,669040877346580,21,1028,559169855,65
DEQ,669040884348673,21,1028,566169524,64
DEQ,669040891340303,21,1028,573158721,63
DEQ,669040898350574,21,1028,580166750,62
DEQ,669040905348760,21,1028,587162464,61
DEQ,669040912349985,21,1028,594160915,60
DEQ,669040919345059,21,1028,601153715,59
DEQ,669040926347043,21,1028,608153308,58
DEQ,669040933356281,21,1028,615159475,57
DEQ,669040940345024,21,1028,622145652,56
DEQ,669040947342193,21,1028,629140520,55
DEQ,669040954343464,21,1028,636139358,54
STATS,669040954471324,54,55512,244,190,0,0,0
DEQ,669040961341421,21,1028,243222149,53
DEQ,669040968344373,21,1028,250216406,52
DEQ,669040975350514,21,1028,257220406,51
DEQ,669040982330422,21,1028,264198161,50
DEQ,669040989346354,21,1028,271212055,49
DEQ,669040996346669,21,1028,278210339,48
DEQ,669041003343857,21,1028,285205413,47
DEQ,669041010341728,21,1028,292201288,46
DEQ,669041017243570,21,1028,299101091,45
DEQ,669041024218793,21,1028,306074300,44
DEQ,669041031330469,21,1028,313183987,43
DEQ,669041038249999,21,1028,320101526,42
DEQ,669041045247284,21,1028,327096836,41
DEQ,669041052218631,21,1028,334066172,40
DEQ,669041059337174,21,1028,341182730,39
DEQ,669041066250395,21,1028,348093941,38
DEQ,669041073337684,21,1028,355179150,37
DEQ,669041080341689,21,1028,362179804,36
DEQ,669041087358640,21,1028,369194766,35
DEQ,669041094349056,21,1028,376183057,34
DEQ,669041101347321,21,1028,383179160,33
DEQ,669041108345928,21,1028,390175761,32
DEQ,669041115360266,21,1028,397187881,85
DEQ,669041122346839,21,1028,404172317,84
DEQ,669041129349133,21,1028,411172609,83
DEQ,669041136335934,21,1028,418157395,82
DEQ,669041143336358,21,1028,425155799,81
DEQ,669041150346435,21,1028,432163816,80
DEQ,669041157349707,21,1028,439165068,79
DEQ,669041164344307,21,1028,446157591,78
DEQ,669041171338046,21,1028,453149354,77
DEQ,669041178348449,21,1028,460157627,76
DEQ,669041185347243,21,1028,467154338,75
DEQ,669041192343715,21,1028,474148730,74
DEQ,669041199343901,21,1028,481146919,73
DEQ,669041206349227,21,1028,488150145,72
DEQ,669041213343877,21,1028,495142837,71
DEQ,669041220345592,21,1028,502142556,70
DEQ,669041227351148,21,1028,509145579,69
DEQ,669041234352041,21,1028,516144375,68
DEQ,669041241351199,21,1028,523141538,67
DEQ,669041248347773,21,1028,530136100,67
DEQ,669041255346808,21,1028,537133136,66
DEQ,669041262351309,21,1028,544135645,65
DEQ,669041269348486,21,1028,551130859,64
DEQ,669041276350920,21,1028,558131312,63
DEQ,669041283366399,21,1028,565144781,62
DEQ,669041290345043,21,1028,572121341,61
DEQ,669041297359532,21,1028,579133868,60
DEQ,669041304352460,21,1028,586124745,59
DEQ,669041311348065,21,1028,593118361,58
DEQ,669041318350400,21,1028,600118684,57
DEQ,669041325341863,21,1028,607108066,56
DEQ,669041332344644,21,1028,614108704,55
DEQ,669041339347223,21,1028,229227325,54
DEQ,669041346347501,21,1028,236219110,53
DEQ,669041353358725,21,1028,243228034,52
DEQ,669041360337409,21,1028,250204541,51
DEQ,669041367349613,21,1028,257214658,50
DEQ,669041374337603,21,1028,264199492,49
DEQ,669041381343849,21,1028,271203620,48
DEQ,669041388341801,21,1028,278199554,47
DEQ,669041395345496,21,1028,285201158,46
DEQ,669041402334295,21,1028,292187880,45
DEQ,669041409337183,21,1028,299188733,44
DEQ,669041416325206,21,1028,306174731,43
DEQ,669041423343202,21,1028,313190740,42
DEQ,669041430337601,21,1028,320183074,41
DEQ,669041437343872,21,1028,327187260,40
DEQ,669041444349657,21,1028,334191129,39
DEQ,669041451348065,21,1028,341187483,38
DEQ,669041458341833,21,1028,348178720,37
DEQ,669041465355532,21,1028,355190314,36
DEQ,669041472341836,21,1028,362174623,35
DEQ,669041479345472,21,1028,369175895,34
DEQ,669041486343475,21,1028,376171706,33
DEQ,669041493340636,21,1028,383166751,32
DEQ,669041500348502,21,1028,390172458,31
DEQ,669041507343754,21,1028,397165638,84
DEQ,669041514344360,21,1028,404164277,83
DEQ,669041521338849,21,1028,411156196,82
DEQ,669041528346846,21,1028,418162133,81
DEQ,669041535346432,21,1028,425159725,80
DEQ,669041542345911,21,1028,432157213,79
DEQ,669041549343853,21,1028,439153119,78
DEQ,669041556347647,21,1028,446154915,77
DEQ,669041563342195,21,1028,453147494,76
DEQ,669041570341861,21,1028,460145188,75
DEQ,669041577346223,21,1028,467147492,74
