seq,size,send_ts_ns,recv_ts_ns,rtt_ms
seq,size,send_ts_ns,recv_ts_ns,rtt_ms
0,1000,1785764638630747650,1785764638685964392,55.216742
1,1000,1785764638730916997,1785764638783920557,53.003560
2,1000,1785764638830919822,1785764638875952135,45.032313
3,1000,1785764638930921308,1785764638976007364,45.086056
4,1000,1785764639030921911,1785764639076054084,45.132173
5,1000,1785764639130919965,1785764639176087991,45.168026
6,1000,1785764639230924114,1785764639278693285,47.769171
7,1000,1785764639330917602,1785764639376148131,45.230529
8,1000,1785764639430918964,1785764639476201653,45.282689
9,1000,1785764639530922592,1785764639576252480,45.329888
10,1000,1785764639630923542,1785764639685811054,54.887512
11,1000,1785764639730915647,1785764639775809413,44.893766
12,1000,1785764639830809507,1785764639875852011,45.042504
13,1000,1785764639930923807,1785764639975900277,44.976470
14,1000,1785764640030933165,1785764640075937131,45.003966
15,1000,1785764640130920574,1785764640175976435,45.055861
16,1000,1785764640230924700,1785764640278681560,47.756860
17,1000,1785764640330868475,1785764640376060782,45.192307
18,1000,1785764640430922592,1785764640476097261,45.174669
19,1000,1785764640530923531,1785764640576138651,45.215120
20,1000,1785764640630922193,1785764640676177640,45.255447
21,1000,1785764640730924621,1785764640776227108,45.302487
22,1000,1785764640830925428,1785764640875767720,44.842292
23,1000,1785764640930932281,1785764640975823958,44.891677
24,1000,1785764641030921746,1785764641075862410,44.940664
25,1000,1785764641130919859,1785764641175894801,44.974942
26,1000,1785764641230925464,1785764641278674609,47.749145
27,1000,1785764641330860280,1785764641375983594,45.123314
28,1000,1785764641430933861,1785764641476023066,45.089205
29,1000,1785764641530920402,1785764641576064734,45.144332
30,1000,1785764641630922116,1785764641690671371,59.749255
31,1000,1785764641730917818,1785764641776123522,45.205704
32,1000,1785764641830923359,1785764641876179044,45.255685
33,1000,1785764641930921346,1785764641976228648,45.307302
34,1000,1785764642030928176,1785764642075746537,44.818361
35,1000,1785764642130926365,1785764642175796898,44.870533
36,1000,1785764642230926705,1785764642278678956,47.752251
37,1000,1785764642330809288,1785764642375879599,45.070311
38,1000,1785764596296524304,1785764596341637194,45.112890
39,1000,1785764596396622851,1785764596479689035,83.066184
40,1000,1785764596496619917,1785764596551699095,55.079178
41,1000,1785764642780501963,1785764642835639279,55.137316
42,1000,1785764642880507062,1785764642925671401,45.164339
43,1000,1785764642980505379,1785764643025706549,45.201170
44,1000,1785764643080504840,1785764643125764248,45.259408
45,1000,1785764643180514270,1785764643225795192,45.280922
46,1000,1785764643280509275,1785764643328225059,47.715784
47,1000,1785764643380391464,1785764643425383039,44.991575
48,1000,1785764643480504887,1785764643525409924,44.905037
49,1000,1785764643580502200,1785764643625468208,44.966008
50,1000,1785764643680505965,1785764643735514052,55.008087
51,1000,1785764643780508434,1785764643825545141,45.036707
52,1000,1785764643880508106,1785764643925582805,45.074699
53,1000,1785764643980508423,1785764644025632603,45.124180
54,1000,1785764644080505092,1785764644125667770,45.162678
55,1000,1785764644180503500,1785764644225684784,45.181284
56,1000,1785764644280507168,1785764644328223353,47.716185
57,1000,1785764644380390296,1785764644425782375,45.392079
58,1000,1785764644480508683,1785764644535333117,54.824434
59,1000,1785764644580499833,1785764644625351977,44.852144
60,1000,1785764644680508340,1785764644725392527,44.884187
61,1000,1785764644780509913,1785764644825440106,44.930193
62,1000,1785764644880503347,1785764644925487954,44.984607
63,1000,1785764644980511532,1785764645025522136,45.010604
64,1000,1785764645080513407,1785764645135585055,55.071648
65,1000,1785764645180504944,1785764645225606294,45.101350
66,1000,1785764645280510646,1785764645328231157,47.720511
67,1000,1785764645380390947,1785764645425688152,45.297205
68,1000,1785764645480502283,1785764645525730938,45.228655
69,1000,1785764645580507079,1785764645635761490,55.254411
70,1000,1785764645680501308,1785764645725303550,44.802242
71,1000,1785764645780500834,1785764645825293528,44.792694
72,1000,1785764645880504160,1785764645925387370,44.883210
73,1000,1785764645980509324,1785764646025438135,44.928811
74,1000,1785764646080513197,1785764646125474872,44.961675
75,1000,1785764646180505225,1785764646225516336,45.011111
76,1000,1785764646280502226,1785764646328197281,47.695055
77,1000,1785764646380445458,1785764646425609926,45.164468
78,1000,1785764646480513002,1785764646525641651,45.128649
79,1000,1785764646580511684,1785764646625694106,45.182422
80,1000,1785764646680511379,1785764646725715087,45.203708
81,1000,1785764646780509651,1785764646825761088,45.251437
82,1000,1785764646880512349,1785764646925311639,44.799290
83,1000,1785764646980503631,1785764647025333964,44.830333
84,1000,1785764647080509007,1785764647125387051,44.878044
85,1000,1785764647180509983,1785764647235421507,54.911524
86,1000,1785764647280501977,1785764647328215453,47.713476
87,1000,1785764647380445758,1785764647425506113,45.060355
88,1000,1785764647480507285,1785764647525535751,45.028466
89,1000,1785764647580503338,1785764647625583842,45.080504
90,1000,1785764647680504616,1785764647725634612,45.129996
91,1000,1785764647780502597,1785764647825668253,45.165656
92,1000,1785764647880509183,1785764647925712674,45.203491
93,1000,1785764647980510080,1785764648025760578,45.250498
94,1000,1785764648080504030,1785764648125235697,44.731667
95,1000,1785764648180511956,1785764648225327367,44.815411
96,1000,1785764648280509306,1785764648328205955,47.696649
97,1000,1785764648380424700,1785764648425435909,45.011209
98,1000,1785764648480517940,1785764648525456571,44.938631
99,1000,1785764648580502506,1785764648625504716,45.002210
100,1000,1785764648680505596,1785764648725535600,45.030004
101,1000,1785764648780503749,1785764648825577225,45.073476
102,1000,1785764648880502989,1785764648925599955,45.096966
103,1000,1785764648980502408,1785764649025671142,45.168734
104,1000,1785764649080509700,1785764649125686665,45.176965
105,1000,1785764649180507410,1785764649225762352,45.254942
106,1000,1785764649280511046,1785764649323287201,42.776155
107,1000,1785764649380511716,1785764649425313151,44.801435
108,1000,1785764649480513764,1785764649525347596,44.833832
109,1000,1785764649580502153,1785764649625410962,44.908809
110,1000,1785764649680503191,1785764649725437652,44.934461
111,1000,1785764649780501918,1785764649825483711,44.981793
112,1000,1785764649880509949,1785764649935526846,55.016897
113,1000,1785764649980504883,1785764650025569394,45.064511
114,1000,1785764650080509654,1785764650125608060,45.098406
115,1000,1785764650180502239,1785764650225643558,45.141319
116,1000,1785764650280506628,1785764650328182272,47.675644
117,1000,1785764650380500841,1785764650425725167,45.224326
118,1000,1785764650480510157,1785764650525273193,44.763036
119,1000,1785764650580510303,1785764650625313218,44.802915
120,1000,1785764650680510089,1785764650725356331,44.846242
121,1000,1785764650780512431,1785764650825396425,44.883994
122,1000,1785764650880511767,1785764650925445861,44.934094
123,1000,1785764650980502522,1785764651025473752,44.971230
124,1000,1785764651080505255,1785764651125515303,45.010048
125,1000,1785764651180500862,1785764651225563900,45.063038
126,1000,1785764651280503828,1785764651323104456,42.600628
127,1000,1785764651380506231,1785764651425647391,45.141160
128,1000,1785764651480510852,1785764651525674458,45.163606
129,1000,1785764651580511746,1785764651625736051,45.224305
130,1000,1785764651680510377,1785764651725271044,44.760667
131,1000,1785764651780509691,1785764651845317825,64.808134
132,1000,1785764651880503922,1785764651935336111,54.832189
133,1000,1785764651980505313,1785764652025403814,44.898501
134,1000,1785764652080512228,1785764652125409796,44.897568
135,1000,1785764652180505000,1785764652225465822,44.960822
136,1000,1785764652280504160,1785764652333514833,53.010673
137,1000,1785764652380501359,1785764652425541452,45.040093
138,1000,1785764652480504084,1785764652525587443,45.083359
139,1000,1785764652580512362,1785764652625636796,45.124434
140,1000,1785764652680504428,1785764652725666459,45.162031
141,1000,1785764652780505145,1785764652825705283,45.200138
142,1000,1785764652880505750,1785764652925253833,44.748083
143,1000,1785764652980502628,1785764653025289480,44.786852
144,1000,1785764653080513073,1785764653125333998,44.820925
145,1000,1785764653180509790,1785764653225387681,44.877891
146,1000,1785764653280510587,1785764653323444035,42.933448
147,1000,1785764653380513829,1785764653425461667,44.947838
148,1000,1785764653480511060,1785764653525514808,45.003748
149,1000,1785764653580508034,1785764653625533701,45.025667
150,1000,1785764653680504415,1785764653725582114,45.077699
151,1000,1785764653780502300,1785764653825601670,45.099370
152,1000,1785764653880504372,1785764653925645577,45.141205
153,1000,1785764653980502189,1785764654025687642,45.185453
154,1000,1785764654080510761,1785764654125237292,44.726531
155,1000,1785764654180520044,1785764654225274713,44.754669
156,1000,1785764654280513554,1785764654323342233,42.828679
157,1000,1785764654380515131,1785764654425356635,44.841504
158,1000,1785764654480511592,1785764654525398822,44.887230
159,1000,1785764654580507940,1785764654625449355,44.941415
160,1000,1785764654680511374,1785764654725482886,44.971512
161,1000,1785764654780508972,1785764654825521520,45.012548
162,1000,1785764654880514732,1785764654925572743,45.058011
163,1000,1785764654980511495,1785764655025610980,45.099485
164,1000,1785764655080513279,1785764655125650745,45.137466
165,1000,1785764655180511747,1785764655225697117,45.185370
