seq,size,send_ts_ns,recv_ts_ns,rtt_ms
0,1000,1785764990007530822,1785764990158814231,151.279459
1,1000,1785764990107758487,1785764990259858271,152.097742
2,1000,1785764990207769118,1785764990360869393,153.098301
3,1000,1785764990307713178,1785764990480912245,173.196778
4,1000,1785764990407711023,1785764990570854728,163.141522
5,1000,1785764990507714659,1785764990678857375,171.140636
6,1000,1785764990607713703,1785764990786861906,179.146210
7,1000,1785764990707686278,1785764990886854190,179.165676
8,1000,1785764990807712958,1785764990980884938,173.169696
9,1000,1785764990907707531,1785764991082869518,175.159919
10,1000,1785764991007713813,1785764991202870450,195.154522
11,1000,1785764991107711080,1785764991308858717,201.145612
12,1000,1785764991207686645,1785764991410869769,203.181197
13,1000,1785764991307758781,1785764991510881752,203.120896
14,1000,1785764991407764278,1785764991608864665,201.098350
15,1000,1785764991507769206,1785764991704881345,197.108863
16,1000,1785764991607762818,1785764991806861768,199.096671
17,1000,1785764991707707311,1785764991929340726,221.631523
18,1000,1785764991807629110,1785764992048860188,241.220027
19,1000,1785764991907764817,1785764992156847163,249.080276
20,1000,1785764992007738298,1785764992246860653,239.119908
21,1000,1785764992107719566,1785764992360861030,253.139476
22,1000,1785764992207697269,1785764992456848896,249.149658
23,1000,1785764992307719729,1785764992564838771,257.117048
24,1000,1785764992407719827,1785764992676848449,269.123686
25,1000,1785764992507711572,1785764992776857368,269.143331
26,1000,1785764992607716005,1785764992889276392,281.558320
27,1000,1785764992707692445,1785764993002886392,295.191693
28,1000,1785764992807713110,1785764993114862116,307.146905
29,1000,1785764992907714372,1785764993220874279,313.157969
30,1000,1785764993007711731,1785764993298868687,291.154763
31,1000,1785764993107761008,1785764993398856143,291.093030
32,1000,1785764993207759843,1785764993506845632,299.083892
33,1000,1785764993307712549,1785764993628419650,320.704726
34,1000,1785764993407711869,1785764993710847601,303.133710
35,1000,1785764993507624337,1785764993818840107,311.204754
36,1000,1785764993607761059,1785764993914877751,307.114460
37,1000,1785764993707721770,1785764994036849564,329.125852
38,1000,1785764993807758130,1785764994156572984,348.812973
39,1000,1785764993907752401,1785764994240852968,333.098180
40,1000,1785764994007748439,1785764994362850906,355.100518
41,1000,1785764994107733577,1785764994462847688,355.111954
42,1000,1785764994207696241,1785764994554840717,347.142319
43,1000,1785764994307733561,1785764994679850872,372.115049
44,1000,1785764994407715595,1785764994774854685,367.137067
45,1000,1785764994507713878,1785764994868834210,361.118235
46,1000,1785764994607715832,1785764994974867091,367.149173
47,1000,1785764994707692121,1785764995074859816,367.165463
48,1000,1785764994807719885,1785764995174873675,367.151544
49,1000,1785764994907714521,1785764995278853259,371.136456
50,1000,1785764995007714865,1785764995380857210,373.140068
51,1000,1785764995107712363,1785764995480846430,373.131828
52,1000,1785764995207683978,1785764995588837549,381.151462
53,1000,1785764995307709773,1785764995702874062,395.162232
54,1000,1785764995407715354,1785764995800857245,393.139601
55,1000,1785764995507708646,1785764995923260043,415.549125
56,1000,1785764995607712644,1785764996030830603,423.115700
57,1000,1785764995707691551,1785764996134847543,427.153897
58,1000,1785764995807712204,1785764996238824466,431.110286
59,1000,1785764995907761515,1785764996340857235,433.093368
60,1000,1785764996007746190,1785764996436813818,429.065507
61,1000,1785764996107740490,1785764996548819874,441.077369
62,1000,1785764996207707337,1785764996650826408,443.117071
63,1000,1785764996307733882,1785764996758826567,451.090692
64,1000,1785764996407724565,1785764996864823903,457.097421
65,1000,1785764996507734315,1785764996956223436,448.486966
66,1000,1785764996607722318,1785764997089830728,482.106183
67,1000,1785764996707699520,1785764997192814367,485.112773
68,1000,1785764996807708805,1785764997310829799,503.118854
69,1000,1785764996907708558,1785764997402825800,495.115046
70,1000,1785764997007710632,1785764997490836985,483.123913
71,1000,1785764997107708603,1785764997590825448,483.114673
72,1000,1785764997207691703,1785764997698838505,491.144572
73,1000,1785764997307762256,1785764997803291764,495.527248
74,1000,1785764997407714842,1785764997902825994,495.109010
75,1000,1785764997507708356,1785764998018838361,511.128034
76,1000,1785764997607706560,1785764998140839177,533.130566
77,1000,1785764997707687982,1785764998270877144,563.186971
78,1000,1785764997807706672,1785764998372839134,565.130438
79,1000,1785764997907706089,1785764998500853687,593.145560
80,1000,1785764998007759441,1785764998506822866,499.061445
81,1000,1785764998107746959,1785764998704810422,597.061423
82,1000,1785764998207699877,1785764998716453960,508.752148
83,1000,1785764998307709066,1785764998922833236,615.121783
84,1000,1785764998407722380,1785764998922856232,515.131662
85,1000,1785764998507711587,1785764999122838229,615.124651
86,1000,1785764998607766677,1785764999122876085,515.107228
87,1000,1785764998707705385,1785764999329795269,622.087865
88,1000,1785764998807751480,1785764999329827204,522.073756
89,1000,1785764998907753805,1785764953315991792,612.977168
90,1000,1785764999007746758,1785764953316033642,513.026568
91,1000,1785764999107737219,1785764953506103217,603.105840
92,1000,1785764999207752774,1785764999732042377,522.999682
93,1000,1785764999307760176,1785764999762115968,453.066162
94,1000,1785764999407736868,1785764999969567727,560.540945
95,1000,1785764953303018620,1785764999969594546,460.541706
96,1000,1785764953402996716,1785765000147818934,538.789775
97,1000,1785764953503019339,1785765000152118336,443.067497
98,1000,1785764999808997172,1785765000340067361,531.067985
99,1000,1785764999909047940,1785765000340098388,431.048420
100,1000,1785765000009006048,1785765000532114295,523.105148
101,1000,1785765000109050858,1785765000532138283,423.084842
102,1000,1785765000209058501,1785765000752096287,543.035129
103,1000,1785765000309046884,1785765000752129461,443.080332
104,1000,1785765000409014213,1785765000956116093,547.099531
105,1000,1785765000509055630,1785765000956139578,447.081869
106,1000,1785765000609024951,1785765001179558854,570.531647
107,1000,1785765000709070448,1785765001184140694,475.067867
108,1000,1785765000809006909,1785765001380072458,571.063204
109,1000,1785765000909046052,1785765001386115029,477.066720
110,1000,1785765001008998601,1785765001607446254,598.445242
111,1000,1785765001109052140,1785765001612139394,503.084917
112,1000,1785765001208968163,1785765001786091603,577.121262
113,1000,1785765001309053046,1785765001786124529,477.069285
114,1000,1785765001408993353,1785765001994100756,585.105052
