seq,size,send_ts_ns,recv_ts_ns,rtt_ms
0,1000,1785765041247830867,1785765041625332377,377.497338
2,1000,1785765041448064153,1785765041830740790,382.674698
4,1000,1785765041647999525,1785765042058435705,410.434304
6,1000,1785765041847980598,1785765042223032689,375.050141
8,1000,1785765042048029104,1785765042431133032,383.102023
10,1000,1785765042247985967,1785765042658179660,410.191811
12,1000,1785765042447982029,1785765042850750136,402.766183
14,1000,1785765042648037528,1785765043055346214,407.306763
16,1000,1785765042848040614,1785765043280950282,432.907738
18,1000,1785765043048037712,1785765043480467240,432.427617
20,1000,1785765043248049542,1785765043690986587,442.935115
21,1000,1785765043348011464,1785765043865059299,517.045636
22,1000,1785765043448074215,1785765043870669588,422.589388
23,1000,1785765043547998813,1785765043935091260,387.090511
24,1000,1785765043648062752,1785765044078151128,430.086251
25,1000,1785765043747995637,1785765044082674199,334.676512
26,1000,1785765043848050702,1785765044300115732,452.063033
27,1000,1785765043948016323,1785765044304762917,356.744688
29,1000,1785765044148001517,1785765044495861425,347.857403
31,1000,1785765044348010645,1785765044725534641,377.522052
33,1000,1785765044548011906,1785765044910494638,362.480826
35,1000,1785765044748014259,1785765045130091245,382.075065
37,1000,1785765044948015511,1785765045318149185,370.131783
39,1000,1785765045148024989,1785765045515365046,367.338169
41,1000,1785765045348010885,1785765045717835469,369.822640
43,1000,1785765045547990605,1785765045950072020,402.075761
45,1000,1785765045747981253,1785765046135120578,387.137324
47,1000,1785765045948037860,1785765046363226827,415.187045
49,1000,1785765046147994571,1785765046535274813,387.278301
51,1000,1785765046348031487,1785765046740865149,392.831727
53,1000,1785765046547980421,1785765046968013487,420.031177
55,1000,1785765046748001573,1785765047148067181,400.063693
57,1000,1785765046948046811,1785765047370680122,422.631386
59,1000,1785765047148085869,1785765047548074153,399.987178
61,1000,1785765047348064493,1785765047775312249,427.245825
62,1000,1785765047448025384,1785765047928362627,480.332851
63,1000,1785765047548051549,1785765047990377872,442.324093
64,1000,1785765047648054356,1785765048030399628,382.343112
65,1000,1785765047748066386,1785765048209971729,461.903282
66,1000,1785765047848032488,1785765048214731691,366.697345
67,1000,1785765047948002500,1785765048400083805,452.079315
68,1000,1785765048048010732,1785765048404739942,356.727250
70,1000,1785765048248009093,1785765048585131214,337.120269
72,1000,1785765048448010782,1785765048790715257,342.702415
74,1000,1785765048648018827,1785765049000803169,352.782467
76,1000,1785765048848008554,1785765049210332359,362.321892
78,1000,1785765049048010858,1785765049417983671,369.970928
80,1000,1785765049248009047,1785765049611064359,363.053415
82,1000,1785765049447981344,1785765049815110437,367.127138
84,1000,1785765049647981863,1785765050015199261,367.215497
86,1000,1785765049847985269,1785765050233343689,385.356497
88,1000,1785765050047994439,1785765050448322154,400.325683
90,1000,1785765050248013138,1785765004453530914,412.483393
92,1000,1785765050448070935,1785765050849420673,402.506262
94,1000,1785765004441066334,1785765051039476942,392.599515
96,1000,1785765050846803618,1785765051254033567,407.223267
98,1000,1785765051046853739,1785765051464201238,417.345567
100,1000,1785765051246893990,1785765051664270869,417.374974
102,1000,1785765051446901136,1785765051869340478,422.437177
103,1000,1785765051546876717,1785765052026883437,480.004346
104,1000,1785765051646898060,1785765052116926325,470.026213
105,1000,1785765051746883658,1785765052163945448,417.059601
106,1000,1785765051846893887,1785765052329576558,482.680552
107,1000,1785765051946882968,1785765052329599003,382.714183
108,1000,1785765052046825898,1785765052542120120,495.292317
109,1000,1785765052146849048,1785765052553463194,406.612195
111,1000,1785765052346855053,1785765052742204883,395.347791
113,1000,1785765052546854017,1785765052969275507,422.419606
115,1000,1785765052746848119,1785765053143892203,397.042149
117,1000,1785765052946899091,1785765053348901019,401.999625
119,1000,1785765053146824953,1785765053539504803,392.677939
121,1000,1785765053346874436,1785765053737103088,390.226615
123,1000,1785765053546826150,1785765053924164173,377.336111
125,1000,1785765053746822068,1785765054134262323,387.438334
127,1000,1785765053946856963,1785765054379543225,432.684268
129,1000,1785765054146824976,1785765054599412639,452.585736
131,1000,1785765054346866042,1785765054779542527,432.674430
133,1000,1785765054546806636,1785765054999598689,452.784735
135,1000,1785765054746902526,1785765055182164511,435.260045
137,1000,1785765054946908687,1785765055379550046,432.639062
139,1000,1785765055146908884,1785765055566865478,419.954634
141,1000,1785765055346898716,1785765055791921850,445.021215
143,1000,1785765055546907398,1785765056002049654,455.140065
144,1000,1785765055646850971,1785765056169562765,522.709776
145,1000,1785765055746898992,1785765056187104502,440.203494
146,1000,1785765055846852071,1785765056259579282,412.724842
147,1000,1785765055946875053,1785765056398877853,452.000852
148,1000,1785765056046844923,1785765056403493572,356.646754
149,1000,1785765056146880182,1785765056618730178,471.848085
150,1000,1785765056246849804,1785765056623449425,376.597630
152,1000,1785765056446852791,1785765056858763537,411.908506
154,1000,1785765056646849077,1785765057068949271,422.098294
156,1000,1785765056846885394,1785765057242024884,395.137504
158,1000,1785765057046870159,1785765057439634127,392.762022
160,1000,1785765057246826936,1785765057649177347,402.348499
162,1000,1785765057446828086,1785765057869787063,422.956980
164,1000,1785765057646870699,1785765058056867050,409.994375
166,1000,1785765057846888607,1785765058268975721,422.085166
